Support,Confidence,Coverage,Strength,Lift,Leverage,Antecedent,Consequent
continuous,continuous,continuous,continuous,continuous,continuous,string,string
,,,,,,meta,meta
0.564,0.889,0.635,1.285,1.089,0.046,"onehot_saladefeculents=0, onehot_viande=1, onehot_dessertgourmand=0",onehot_fromage=0
0.564,1.0,0.564,1.266,1.399,0.161,"onehot_fromage=0, onehot_saladefeculents=0, onehot_viande=1",onehot_dessertgourmand=0
0.564,0.889,0.635,0.923,1.517,0.192,"onehot_saladefeculents=0, onehot_viande=1","onehot_fromage=0, onehot_dessertgourmand=0"
0.564,0.71,0.794,0.9,0.994,-0.003,"onehot_fromage=0, onehot_viande=1","onehot_saladefeculents=0, onehot_dessertgourmand=0"
0.564,0.617,0.914,0.641,1.054,0.029,onehot_viande=1,"onehot_fromage=0, onehot_saladefeculents=0, onehot_dessertgourmand=0"
0.564,1.0,0.564,1.266,1.399,0.161,"onehot_fromage=0, onehot_viande=1, onehot_dessertgourmand=0",onehot_saladefeculents=0
0.564,0.889,0.635,0.923,1.517,0.192,"onehot_viande=1, onehot_dessertgourmand=0","onehot_fromage=0, onehot_saladefeculents=0"
0.564,0.71,0.794,0.9,0.994,-0.003,"onehot_viande=1, onehot_vege=0",onehot_dessertgourmand=0
0.564,0.617,0.914,0.641,1.054,0.029,onehot_viande=1,"onehot_vege=0, onehot_dessertgourmand=0"
0.564,0.889,0.635,1.285,1.089,0.046,"onehot_viande=1, onehot_dessertgourmand=0",onehot_vege=0
0.564,1.0,0.564,1.446,1.226,0.104,"onehot_viande=1, onehot_vege=0, onehot_dessertgourmand=0",onehot_fromage=0
0.564,0.71,0.794,0.9,0.994,-0.003,"onehot_fromage=0, onehot_viande=1, onehot_vege=0",onehot_dessertgourmand=0
0.564,0.71,0.794,0.737,1.213,0.099,"onehot_viande=1, onehot_vege=0","onehot_fromage=0, onehot_dessertgourmand=0"
0.564,0.71,0.794,0.737,1.213,0.099,"onehot_fromage=0, onehot_viande=1","onehot_vege=0, onehot_dessertgourmand=0"
0.564,0.617,0.914,0.641,1.054,0.029,onehot_viande=1,"onehot_fromage=0, onehot_vege=0, onehot_dessertgourmand=0"
0.564,1.0,0.564,1.446,1.226,0.104,"onehot_fromage=0, onehot_viande=1, onehot_dessertgourmand=0",onehot_vege=0
0.564,0.889,0.635,1.285,1.089,0.046,"onehot_viande=1, onehot_dessertgourmand=0","onehot_fromage=0, onehot_vege=0"
0.564,0.889,0.635,1.285,1.089,0.046,"onehot_saladefeculents=0, onehot_viande=1, onehot_dessertgourmand=0",onehot_vege=0
0.564,0.889,0.635,0.923,1.517,0.192,"onehot_viande=1, onehot_dessertgourmand=0","onehot_saladefeculents=0, onehot_vege=0"
0.564,1.0,0.564,1.266,1.399,0.161,"onehot_saladefeculents=0, onehot_viande=1, onehot_vege=0",onehot_dessertgourmand=0
0.564,0.889,0.635,0.923,1.517,0.192,"onehot_saladefeculents=0, onehot_viande=1","onehot_vege=0, onehot_dessertgourmand=0"
0.564,0.617,0.914,0.641,1.054,0.029,onehot_viande=1,"onehot_saladefeculents=0, onehot_vege=0, onehot_dessertgourmand=0"
0.564,0.71,0.794,0.9,0.994,-0.003,"onehot_viande=1, onehot_vege=0","onehot_saladefeculents=0, onehot_dessertgourmand=0"
0.564,1.0,0.564,1.266,1.399,0.161,"onehot_viande=1, onehot_vege=0, onehot_dessertgourmand=0",onehot_saladefeculents=0
0.564,1.0,0.564,1.446,1.226,0.104,"onehot_fromage=0, onehot_saladefeculents=0, onehot_viande=1, onehot_dessertgourmand=0",onehot_vege=0
0.564,0.889,0.635,1.285,1.089,0.046,"onehot_saladefeculents=0, onehot_viande=1, onehot_dessertgourmand=0","onehot_fromage=0, onehot_vege=0"
0.564,1.0,0.564,1.038,1.707,0.234,"onehot_fromage=0, onehot_viande=1, onehot_dessertgourmand=0","onehot_saladefeculents=0, onehot_vege=0"
0.564,0.889,0.635,0.923,1.517,0.192,"onehot_viande=1, onehot_dessertgourmand=0","onehot_fromage=0, onehot_saladefeculents=0, onehot_vege=0"
0.564,1.0,0.564,1.446,1.226,0.104,"onehot_saladefeculents=0, onehot_viande=1, onehot_vege=0, onehot_dessertgourmand=0",onehot_fromage=0
0.564,1.0,0.564,1.266,1.399,0.161,"onehot_fromage=0, onehot_saladefeculents=0, onehot_viande=1, onehot_vege=0",onehot_dessertgourmand=0
0.564,1.0,0.564,1.038,1.707,0.234,"onehot_saladefeculents=0, onehot_viande=1, onehot_vege=0","onehot_fromage=0, onehot_dessertgourmand=0"
0.564,1.0,0.564,1.038,1.707,0.234,"onehot_fromage=0, onehot_saladefeculents=0, onehot_viande=1","onehot_vege=0, onehot_dessertgourmand=0"
0.564,0.889,0.635,0.923,1.517,0.192,"onehot_saladefeculents=0, onehot_viande=1","onehot_fromage=0, onehot_vege=0, onehot_dessertgourmand=0"
0.564,0.71,0.794,0.737,1.213,0.099,"onehot_fromage=0, onehot_viande=1","onehot_saladefeculents=0, onehot_vege=0, onehot_dessertgourmand=0"
0.564,0.617,0.914,0.641,1.054,0.029,onehot_viande=1,"onehot_fromage=0, onehot_saladefeculents=0, onehot_vege=0, onehot_dessertgourmand=0"
0.564,0.71,0.794,0.9,0.994,-0.003,"onehot_fromage=0, onehot_viande=1, onehot_vege=0","onehot_saladefeculents=0, onehot_dessertgourmand=0"
0.564,0.71,0.794,0.737,1.213,0.099,"onehot_viande=1, onehot_vege=0","onehot_fromage=0, onehot_saladefeculents=0, onehot_dessertgourmand=0"
0.564,1.0,0.564,1.266,1.399,0.161,"onehot_fromage=0, onehot_viande=1, onehot_vege=0, onehot_dessertgourmand=0",onehot_saladefeculents=0
0.564,1.0,0.564,1.038,1.707,0.234,"onehot_viande=1, onehot_vege=0, onehot_dessertgourmand=0","onehot_fromage=0, onehot_saladefeculents=0"
0.561,0.68,0.825,0.866,0.952,-0.028,"onehot_charcuterie=0, onehot_viande=1",onehot_saladefeculents=0
0.561,0.884,0.635,1.415,0.984,-0.009,"onehot_saladefeculents=0, onehot_viande=1",onehot_charcuterie=0
0.561,0.614,0.914,0.691,0.972,-0.016,onehot_viande=1,"onehot_saladefeculents=0, onehot_charcuterie=0"
0.561,0.68,0.825,0.866,0.952,-0.028,"onehot_viande=1, onehot_cremedessert=0",onehot_saladefeculents=0
0.561,0.884,0.635,1.415,0.984,-0.009,"onehot_saladefeculents=0, onehot_viande=1",onehot_cremedessert=0
0.561,0.614,0.914,0.691,0.972,-0.016,onehot_viande=1,"onehot_saladefeculents=0, onehot_cremedessert=0"
0.561,0.68,0.825,0.866,0.952,-0.028,"onehot_charcuterie=0, onehot_viande=1, onehot_cremedessert=0",onehot_saladefeculents=0
0.561,1.0,0.561,1.601,1.113,0.057,"onehot_saladefeculents=0, onehot_viande=1, onehot_cremedessert=0",onehot_charcuterie=0
0.561,0.68,0.825,0.766,1.077,0.04,"onehot_viande=1, onehot_cremedessert=0","onehot_saladefeculents=0, onehot_charcuterie=0"
0.561,1.0,0.561,1.601,1.113,0.057,"onehot_saladefeculents=0, onehot_charcuterie=0, onehot_viande=1",onehot_cremedessert=0
0.561,0.68,0.825,0.766,1.077,0.04,"onehot_charcuterie=0, onehot_viande=1","onehot_saladefeculents=0, onehot_cremedessert=0"
0.561,0.884,0.635,1.415,0.984,-0.009,"onehot_saladefeculents=0, onehot_viande=1","onehot_charcuterie=0, onehot_cremedessert=0"
0.561,0.614,0.914,0.691,0.972,-0.016,onehot_viande=1,"onehot_saladefeculents=0, onehot_charcuterie=0, onehot_cremedessert=0"
0.561,0.68,0.825,0.866,0.952,-0.028,"onehot_charcuterie=0, onehot_viande=1",onehot_dessertgourmand=0
0.561,0.614,0.914,0.691,0.972,-0.016,onehot_viande=1,"onehot_charcuterie=0, onehot_dessertgourmand=0"
0.561,0.884,0.635,1.415,0.984,-0.009,"onehot_viande=1, onehot_dessertgourmand=0",onehot_charcuterie=0
0.561,1.0,0.561,1.273,1.399,0.16,"onehot_saladefeculents=0, onehot_charcuterie=0, onehot_viande=1",onehot_dessertgourmand=0
0.561,0.68,0.825,0.866,0.952,-0.028,"onehot_charcuterie=0, onehot_viande=1","onehot_saladefeculents=0, onehot_dessertgourmand=0"
0.561,0.884,0.635,0.995,1.399,0.16,"onehot_saladefeculents=0, onehot_viande=1","onehot_charcuterie=0, onehot_dessertgourmand=0"
0.561,0.614,0.914,0.691,0.972,-0.016,onehot_viande=1,"onehot_saladefeculents=0, onehot_charcuterie=0, onehot_dessertgourmand=0"
0.561,1.0,0.561,1.273,1.399,0.16,"onehot_charcuterie=0, onehot_viande=1, onehot_dessertgourmand=0",onehot_saladefeculents=0
0.561,0.884,0.635,1.415,0.984,-0.009,"onehot_saladefeculents=0, onehot_viande=1, onehot_dessertgourmand=0",onehot_charcuterie=0
0.561,0.884,0.635,0.995,1.399,0.16,"onehot_viande=1, onehot_dessertgourmand=0","onehot_saladefeculents=0, onehot_charcuterie=0"
0.561,0.68,0.825,0.866,0.952,-0.028,"onehot_viande=1, onehot_cremedessert=0",onehot_dessertgourmand=0
0.561,0.884,0.635,1.415,0.984,-0.009,"onehot_viande=1, onehot_dessertgourmand=0",onehot_cremedessert=0
0.561,0.614,0.914,0.691,0.972,-0.016,onehot_viande=1,"onehot_dessertgourmand=0, onehot_cremedessert=0"
