Horodateur;Numéro de formulaire;ENTREE;Prise en double de l'entrée ;PLAT ;DESSERT;Prise en double du dessert
  13:03:01;8D5S;Pas d'entrée;Non;Filet de poulet + Spaghettis + Mousseline de potiron;Banane + Pomme;Oui
  13:03:17;4W5E;Champignons;Non;Poisson pané + Spaghettis + Mousseline de potiron;Compote ;Non
  13:03:38;OW3D;Chou blanc;Oui;Filet de poulet + Spaghettis + Mousseline de potiron;Compote;Oui
  13:04:09;4U9D;Pas d'entrée;Non;Poisson pané + Spaghettis + Mousseline de potiron;Compote ;Oui
  13:04:17;7E4C;Chou blanc;Non;Filet de poulet + Spaghettis;Crème praliné ;Oui
  13:04:30;5W6M;Champignons;Non;Kebab + Frites;Roquefort;Non
  13:04:37;7W5Y;Champignons;Oui;Poisson pané + Spaghettis;Yaourt nature Bio;Oui
  13:04:48;OI5C;Pas d'entrée;Non;Poisson pané + Spaghettis + Mousseline de potiron;Orange ;Oui
  13:05:03;2D7O;Rillette poisson;Non;Poisson pané + Spaghettis + Mousseline de potiron;Yaourt nature Bio + Compote;Non
  13:05:14;8J2L;Champignons;Non;Filet de poulet + Spaghettis + Mousseline de potiron;Roquefort;Non
  13:05:35;1L4G;Pas d'entrée;Non;Poisson pané + Spaghettis;Pomme ;Oui
  13:05:41;1M2Q;Pas d'entrée;Non;Kebab + Frites;Yaourt nature Bio;Non
  13:05:42;254Q;Pas d'entrée;Non;Kebab + Salade;Yaourt nature Bio;Non
