N° Formulaire;Genre;Âge;Taille (m);Poids (kg);IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS;Equilibre alim;Seule ou en groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5;
5G0U;F;18;1,685;54;19,01927463;Aucune;Non;Non;Au moins 1 fois par semaine;Un peu;Seule;1;Oui;Non;Non;Pas influencé;Pas influencé;Non, pas trop;Oui, assez faim;Plutôt non;;;;;;;
2E4O;M;27;1,76;64;20,66115702;Aucune;Non;Non;Tous les jours ou presque;Très attention;Seule;1;Non;Non;Non;Pas influencé;Très influencé;Plutôt oui;Oui, mais très peu;Plutôt oui;;;;;;;
6U3B;M;20;1,85;62;18,11541271;Faible;Non;Non;Tous les jours ou presque;Moyennement ;Groupe;6;Oui;Oui;Oui;Pas influencé;Très influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt oui;6;8B8H;2L2Z;0R4X;4A1V;8W4Q;
5H2S;M;18;1,73;62,5;20,88275586;Importante;Oui;Non;Tous les jours ou presque;Très attention;Seule;1;Oui;Non;Non;Peu influencé;Moyennement influencé;Non, pas trop;Oui, très faim;Non;;;;;;;
0R4J;M;20;1,93;99;26,57789471;Importante;Non;Non;Tous les jours ou presque;Moyennement ;Groupe;2;Oui;Oui;Oui;Peu influencé;Très influencé;Non, pas trop;Oui, assez faim;Non;2;3W5V;;;;;
3W5V;F;19;1,56;48;19,72386588;Modérée;Non;Non;Tous les jours ou presque;Un peu;Groupe;2;Oui;Oui;Oui;Peu influencé;Très influencé;Non, je ne pense pas;Oui, assez faim;Non;2;0R4J;;;;;
9B3F;M;20;1,72;75;25,35154137;Faible;Non;Non;Tous les jours ou presque;Pas du tout;Groupe;8;Oui;Oui;Oui;Moyennement influencé;Pas influencé;Oui, tout à fait;Oui, très faim;Non;7;6T3S;4R6L;5I5P;4M6N;0Y1T;9S9J
6T3S;M;20;1,8;70;21,60493827;Modérée;Non;Non;Tous les jours ou presque;Moyennement ;Groupe;8;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Oui, tout à fait;Oui, assez faim;Non;7;4M6N;0Y1T;9B3F;5I5P;9S9J;4R6L
0Y1T;M;20;1,7;45;15,57093426;Faible;Non;Non;Tous les jours ou presque;Moyennement ;Groupe;8;Non;Non;Non;;Moyennement influencé;Plutôt oui;Oui, assez faim;Plutôt non;7;9S9J;6T3S;4M6N;5I5P;9B3F;4R6L
5I5P;F;19;1,67;50;17,92821543;Modérée;Non;Non;Tous les jours ou presque;Un peu;Groupe;12;Non;Non ;Non;NA;Très influencé;Non, je ne pense pas;Oui, très faim;Non;7;4M6N;9S9J;0Y1T;9B3F;6T3S;4R6L
9S9J;M;21;1,76;110;35,51136364;Faible;Non;Non;Tous les jours ou presque;Moyennement ;Groupe;10;Oui;Oui;Oui;Très influencé;Moyennement influencé;Non, pas trop;Oui, très faim;Plutôt non;7;0Y1T;4M6N;9B3F;5I5P;6T3S;4R6L
5M6R;F;18;1,75;65;21,2244898;Faible;Non;Non;Tous les jours ou presque;Très attention;Groupe;2;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, je ne pense pas ;Oui, très faim;Plutôt non;2;8W1L;;;;;
8W1L;F;19;1,65;98;35,99632691;Faible;Non;Non;Tous les jours ou presque;Un peu;Groupe;2;Oui;Oui;Oui;Peu influencé;Peu influencé;Non, pas trop;Oui, très faim;Plutôt oui;2;5M6R;;;;;
