Horodateur,Numéro de formulaire ,ENTREE_1,ENTREE_2,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2
 12:35:00,9D6N,Mini sandwich,,Cordon bleu , Riz , Brocolis,Pomme Gala,
 12:36:38,5A5R,Salade de riz,,Cordon bleu , Riz , Brocolis,Tarte aux fruits,
 12:37:52,8S7L,Pas d'entrée,,Riz , Boulettes viande,,Yaourt aux fruits en morceaux , Banane
 12:38:09,8N6P,Salade de riz,,Cordon bleu , Riz , Brocolis,Paris Brest,
 12:39:08,1C5X,Salade de riz,,Roti légumes tofu , Riz , Brocolis,Tarte aux fruits,
 12:39:19,0N3Z,Pas d'entrée,,Roti légumes tofu , Riz , Brocolis,Poire,
 12:40:10,7B2H,salade de chou,,Cordon bleu , Riz , Brocolis,Tarte aux fruits,
 12:40:49,9Q5A,Pas d'entrée,,Pavé de poisson bordelaise , Riz,,Fromage blanc nature , Paris Brest
 12:41:09,3E1Q,Salade de riz,,Pavé de poisson bordelaise , Riz , Brocolis ,Yaourt aux fruits en morceaux,
 12:41:17,3N5Y,Betterave,,Cordon bleu , Riz , Brocolis,Yaourt aux fruits en morceaux , Crème praliné
 12:41:47,5LOV,Salade de riz,,Pavé de poisson bordelaise , Riz , Brocolis ,Paris Brest,
 12:42:08,2Q8X,Pas d'entrée,,Pizza Kebab , Frites , Salade,Paris Brest , Orange + Cocktail Fruits exotiques
 12:43:11,2L4N,Pas d'entrée,,Cordon bleu , Riz , Brocolis,Fromage blanc nature , Tarte aux fruits
 12:43:19,0Y1G,Pas d'entrée,,Boulettes viande , Riz , Brocolis,Yaourt aux fruits en morceaux , Paris Brest
 12:43:46,5C2M,Betterave,,Cordon bleu , Riz , Brocolis,Pruneaux au sirop , Yaourt nature
 12:43:57,1J6P,Pas d'entrée,,Cordon bleu , Riz , Brocolis,Yaourt aux fruits en morceaux , Paris Brest 
 12:44:07,2K9I,Pas d'entrée,,Cordon bleu , Riz , Brocolis,Emmental , Paris Brest
 12:44:30,9W30,Pas d'entrée,,Cordon bleu , Riz,,Paris Brest , Orange
 12:44:53,6T3Q,Pas d'entrée,,Cordon bleu , Riz , Brocolis,Yaourt aux fruits en morceaux , Paris Brest + Pomme Gala
 12:45:07,2O7S,Betterave,,Pavé de poisson bordelaise , Riz , Brocolis ,Paris Brest , Pruneaux au sirop
 12:45:35,5U3X,Pas d'entrée,,Pavé de poisson bordelaise , Riz , Brocolis ,Emmental , Yaourt aux fruits en morceaux
 12:46:41,5G9R,Pas d'entrée,,Filet de poulet , Riz , Brocolis,Yaourt aux fruits en morceaux , Poire
 12:47:09,0M0L,Pas d'entrée,,Cordon bleu , Riz , Brocolis,Emmental,
 12:47:39,0E2X,Salade de riz,,Cordon bleu , Riz , Brocolis,Paris Brest,
 12:48:20,0S4Y,Pas d'entrée,,Cordon bleu , Riz , Brocolis,Bleu d'Auvergne AOP , Paris Brest
 12:49:01,2T3H,Artichauts ,,Cordon bleu , Riz , Brocolis,Yaourt aux fruits en morceaux,
 12:50:10,6M1O,Pâté,,Pavé de poisson bordelaise , Riz , Brocolis ,Emmental , Paris Brest 
 12:51:10,5Q8O,Betterave,,Boulettes viande , Riz , Brocolis,Paris Brest  ,
 12:51:47,8X6E,Artichauts,,Cordon bleu , Riz , Brocolis,Paris Brest , Liégeois
 12:52:09,5S7A,Pas d'entrée,,Boulettes viande , Riz , Brocolis,Yaourt aux fruits en morceaux , Paris Brest + Pruneaux au sirop
 12:52:42,6E4S,Pas d'entrée,,Roti légumes tofu , Riz , Brocolis,Emmental , Tarte aux fruits
 12:53:03,5B3U,Betterave,,Roti légumes tofu , Riz , Brocolis,Paris Brest , Pomme Gala
 12:53:16,5S4C,salade de chou,,Roti légumes tofu , Riz , Brocolis,Tarte aux fruits,
 12:54:35,3K9G,Pas d'entrée,,Pavé de poisson bordelaise , Riz , Brocolis ,Yaourt aux fruits en morceaux , Paris Brest
 12:55:02,6G4G,Pâté,,Filet de poulet , Riz , Brocolis,Paris Brest,
 12:55:16,7F1D,Pas d'entrée,,Cordon bleu , Riz , Brocolis,Emmental  , Tarte aux fruits
 12:55:41,5F9Z,Pas d'entrée,,Filet de poulet , Riz , Brocolis,Paris Brest , Yaourt nature
 12:56:02,,Pas d'entrée,,Boulettes viande , Riz , Brocolis,Paris Brest,
 12:56:15,7R3E,Pas d'entrée,,Pizza Kebab , Frites , Salade,Pas de dessert,
 12:56:29,6C3U,Pas d'entrée,,Boulettes viande , Riz , Brocolis,Paris Brest,
 12:56:54,8S7P,Salade de riz,,Cordon bleu , Riz , Brocolis,Paris Brest,
 12:57:02,0Y5X,Salade de riz,,Boulettes viande , Riz , Brocolis,Tarte aux fruits,
 12:57:24,3Q5T,Salade de riz,,Cordon bleu , Riz , Brocolis,Paris Brest,
 12:57:31,9I2L,Betterave,,Roti légumes tofu , Riz,,Paris Brest,
 12:58:08,5Q0Y,Betterave,,Pavé de poisson bordelaise , Riz , Brocolis ,Paris Brest , Yaourt nature
 12:58:21,7V9Y,Pas d'entrée,,Pizza Kebab , Frites ,,Pas de dessert,
 12:58:38,1I3P,Pas d'entrée,,Pavé de poisson bordelaise , Riz , Brocolis ,Yaourt aux fruits en morceaux , Tarte aux fruits
 12:58:49,7F0W,Rillettes poisson,,Boulettes viande , Riz , Brocolis,Crème praliné,
 12:58:52,8X0N,Pas d'entrée,,Kebab , Frites,,Pas de dessert,
 12:59:34,8T1Q,Betterave,,Boulettes viande , Riz , Brocolis,Yaourt aux fruits en morceaux , Paris Brest
 12:59:47,OR1F,Pas d'entrée,,Boulettes viande , Riz,,Paris Brest , Liégeois
13:00:13,1F7A,Pas d'entrée,,Kebab , Frites,,Yaourt aux fruits en morceaux , Pomme Gala
13:00:37,7E5H,Artichauts,,Filet de poulet , Riz , Brocolis,Paris Brest , Pomme Gala
