Horodateur,Numéro de formulaire ,ENTREE_1,ENTREE_2,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2
13:01:09,5Q8S,Betterave,,Pavé de poisson bordelaise , Riz , Brocolis ,Pomme Gala , Poire
13:01:11,1V0X,Pas d'entrée,,Pavé de poisson bordelaise , Riz , Brocolis ,Pomme Gala , Orange
13:01:43,,Betterave,,Filet de poulet , Riz , Brocolis,Paris Brest , Poire
13:02:12,4P8C,Betterave,,Filet de poulet , Riz , Brocolis,Paris Brest , Poire
13:02:24,5L7H,Salade de riz,,Roti légumes tofu , Riz , Brocolis,Paris Brest , Pomme Gala
13:02:56,9YFK,Betterave,,Roti légumes tofu , Riz,,Emmental ,
13:03:22,2U9G,Carottes rapees ,,Roti légumes tofu , Riz,,Yaourt aux fruits en morceaux,
13:03:37,4A4Z,Pas d'entrée,,Roti légumes tofu , Riz , Brocolis,Emmental , Orange + Tarte aux fruits
13:03:44,7H7Y,Pas d'entrée,,Filet de poulet , Riz , Brocolis,Paris Brest , Pomme Gala
13:04:49,3R8M,Salade de pates,,Roti légumes tofu , Brocolis,,Emmental,
13:04:56,1F9Y,Salade de riz,,Boulettes viande , Riz , Brocolis,Paris Brest,
13:05:04,3U7V,Salade de riz,,Boulettes viande , Riz , Brocolis,Yaourt aux fruits en morceaux,
13:05:34,8G6G,Mini sandwich,,Roti légumes tofu , Riz , Brocolis,Yaourt aux fruits en morceaux , Tarte aux fruits
13:05:39,6G5H,Carottes rapees,,Boulettes viande , Riz , Brocolis,Emmental,
13:05:52,1U6R,Betterave,,Roti légumes tofu , Riz,,Yaourt nature,
13:06:19,3V4C,Pas d'entrée,,Kebab , Frites,,Pas de dessert,
13:06:36,3O2U,Pas d'entrée,,Kebab , Frites,,Pas de dessert,
13:06:52,5Z4K,Pas d'entrée,,Pavé de poisson bordelaise , Riz , Brocolis ,Yaourt nature , Liégeois 
13:08:09,4U3U,Salade de riz,,Pavé de poisson bordelaise , Riz , Boulettes viande ,Paris Brest , Pruneaux au sirop
13:08:21,7V3K,Artichauts,,Pavé de poisson bordelaise , Roti légumes tofu , Riz,Pruneaux au sirop,
13:09:00,0U8E,Carottes rapees,,Pavé de poisson bordelaise , Riz,,Yaourt aux fruits en morceaux , Poire 
13:09:16,5R7Y,Carottes rapees,,Pavé de poisson bordelaise , Riz , Brocolis ,Yaourt aux fruits en morceaux , Pomme Gala
13:09:36,4O8C,Pâté,,Roti légumes tofu , Riz , Boulettes viande,Tarte aux fruits,
13:10:02,1Y7U,Carottes rapees , Salade de riz,Boulettes viande , Riz,,Yaourt aux fruits en morceaux,
13:10:14,2J2X,Carottes rapees,,Pavé de poisson bordelaise , Riz , Boulettes viande ,Tarte aux fruits,
13:10:19,7N0N,Pâté,,Roti légumes tofu , Riz , Boulettes viande,Yaourt aux fruits en morceaux , Liégeois
13:10:38,8Q9F,Carottes rapees,,Roti légumes tofu , Riz , Brocolis,Paris Brest,
13:10:48,8G5E,Betterave,,Pavé de poisson bordelaise , Riz , Brocolis ,Paris Brest,
13:12:22,1W3S,Pas d'entrée,,Boulettes viande , Riz , Brocolis,Yaourt aux fruits en morceaux , Tarte aux fruits
13:12:29,9C8Y,Pas d'entrée,,Pavé de poisson bordelaise , Riz , Boulettes viande ,Gâteau de semoule , Paris Brest 
13:12:22,1A9V,Carottes rapees,,Filet de poulet , Riz , Brocolis,Paris Brest,
13:12:43,3S5G,Mini sandwich,,Riz , Boulettes viande ,,Paris Brest,
13:12:46,4E9P,Pâté,,Boulettes viande , Riz , Brocolis,Paris Brest,
13:13:16,1W5H,Pas d'entrée,,Pavé de poisson bordelaise , Riz , Boulettes viande ,Yaourt aux fruits en morceaux , Tarte aux fruits
13:14:01,3V9C,Pas d'entrée,,Roti légumes tofu , Riz , Brocolis,Paris Brest,
13:14:26,1B0U,Pas d'entrée,,Roti légumes tofu , Riz , Brocolis,Bleu d'Auvergne AOP , Paris Brest
13:14:52,6T3K,Pas d'entrée,,Roti légumes tofu , Riz , Brocolis,Bleu d'Auvergne AOP , Yaourt nature 
13:15:25,8W1B,Salade de riz,,Roti légumes tofu , Riz , Brocolis,Pomme Gala , Orange
13:16:23,2Z9H,Salade de riz,,Boulettes viande , Riz,,Pomme Gala,
13:17:07,3S3F,Salade de riz,,Pavé de poisson bordelaise , Riz , Brocolis ,Paris Brest , Liégeois
13:17:29,0T3B,Mini sandwich,,Boulettes viande , Riz,,Yaourt aux fruits en morceaux , Poire
13:17:37,8N8Q,Pas d'entrée,,Kebab , Frites,,Pas de dessert,
13:17:57,6F0E,Pas d'entrée,,Kebab , Frites,,Pas de dessert,
13:18:38,0X6C,Betterave , Salade de riz,Boulettes viande , Brocolis ,,Paris Brest ,
13:19:18,0N9P,Pâté,,Pavé de poisson bordelaise , Roti légumes tofu , Riz,Yaourt aux fruits en morceaux , Paris Brest
13:19:24,5I5D,salade de chou,,Boulettes viande , Riz , Brocolis,Tarte aux fruits,
13:19:47,9O9K,Pas d'entrée,,Boulettes viande , Riz,,Yaourt aux fruits en morceaux , Paris Brest
13:19:49,0H2B,Pas d'entrée,,Boulettes viande , Riz,,Yaourt aux fruits en morceaux , Paris Brest
13:20:49,4Z3U,salade de chou,,Roti légumes tofu , Riz , Brocolis,Pomme Gala , Orange
13:21:03,3S3F,Salade de riz,,Pavé de poisson bordelaise , Riz , Brocolis ,Paris Brest , Liégeois
13:21:21,9G6O,Pas d'entrée,,Kebab , Frites,,Paris Brest ,
13:22:13,3S8I,Pas d'entrée,,Kebab , Frites,,Pas de dessert,
13:23:32,9V3F,Pas d'entrée,,Kebab , Frites,,Pas de dessert,
13:23:35,7L8N,Pas d'entrée,,Kebab , Frites,,Pas de dessert,
13:24:00,3E3Y,Pas d'entrée,,Kebab , Frites,,Pas de dessert,
13:24:39,1W7I,Champignons a l'italienne , Salade de riz,Boulettes viande , Riz , Brocolis,Fromage blanc nature,
13:24:50,3I9X,Champignons a l'italienne,,Pavé de poisson bordelaise , Riz , Brocolis ,Yaourt aux fruits en morceaux , Kiwi
13:25:09,9M5B,Pâté,,Boulettes viande , Riz,,Paris Brest ,
13:25:32,1R9D,Pâté,,Pavé de poisson bordelaise , Riz ,,Paris Brest ,
13:26:12,3O6U,Pas d'entrée,,Boulettes viande , Riz,,Yaourt aux fruits en morceaux , Paris Brest
13:26:13,5Q1R,salade de chou,,Boulettes viande , Riz , Brocolis,Paris Brest , Pomme Gala
13:26:36,9J7R,Mini sandwich , Pâté,Boulettes viande , Riz , Brocolis,Paris Brest ,
13:27:16,4A7O,Pâté,,Roti légumes tofu , Riz , Boulettes viande,Paris Brest,
13:28:40,9B5K,Pâté,,Boulettes viande , Riz,,Pas de dessert,
13:29:20,2R7A,Champignons a l'italienne,,Roti légumes tofu , Riz , Brocolis,Yaourt aux fruits en morceaux,
13:30:11,102T,Pâté,,Roti légumes tofu , Riz , Boulettes viande,Paris Brest,
13:30:50,6C05,Salade de riz,,Pavé de poisson bordelaise , Roti légumes tofu , Riz,Yaourt aux fruits en morceaux , Paris Brest 
13:31:45,7T4X,Pas d'entrée,,Kebab , Frites ,,Yaourt aux fruits en morceaux,
13:32:02,1J8K,Pas d'entrée,,Brocolis , Riz , Boulettes viande ,Pomme Gala,
13:32:44,3V6V,salade de chou , Pâté,Boulettes viande , Riz ,,Poire,
13:33:31,6T0P,Betterave,,Pavé de poisson bordelaise , Riz , Brocolis ,Paris Brest , Kiwi
13:33:47,OI6B,Pas d'entrée,,Boulettes viande , Riz ,,Yaourt aux fruits en morceaux , Paris Brest
13:34:17,7P1T,Salade de riz,,Pavé de poisson bordelaise , Brocolis , Riz,Paris Brest,
13:34:21,5C9D,Pas d'entrée,,Pavé de poisson bordelaise , Riz ,,Yaourt aux fruits en morceaux , Poire
13:35:12,0G1P,Carottes rapees,,Boulettes viande , Riz ,,Orange , Poire
13:35:22,8Z9E,Pas d'entrée,,Entrecôte , Frites , Salade ,Bleu d'Auvergne AOP , Paris Brest
13:35:45,9W3F,Pas d'entrée,,Kebab , Frites ,,Yaourt nature,
13:36:28,7X7O,Pas d'entrée,,Entrecôte , Frites , Salade ,Pas de dessert,
13:36:37,3V0A,salade de chou,,Pavé de poisson bordelaise , Riz , Brocolis ,Paris Brest ,
13:37:16,2W6P,Artichauts,,Boulettes viande , Riz , Brocolis,Paris Brest ,
13:38:04,1V8P,Mini sandwich , Rillettes poisson,Pavé de poisson bordelaise , Riz,,Paris Brest,
13:38:37,9Z3C,salade de chou,,Roti légumes tofu , Riz,,Pruneaux au sirop,
13:39:36,2W1Q,Pas d'entrée,,Pavé de poisson bordelaise , Riz , Brocolis ,Pomme Gala , Orange + Pruneaux au sirop
12:40:00,3C4H,Pâté,,Boulettes viande , Riz,,Tarte aux fruits,
12:41:00,5C2M,Betterave,,Pavé de poisson bordelaise , Riz , Brocolis ,Pruneaux au sirop,
12:43:00,5X3K,Salade de riz,,Roti légumes tofu , Riz , Brocolis,Tarte aux fruits,
12:44:00,7B9M,salade de chou,,Cordon bleu , Riz , Brocolis,Paris Brest,
12:44:15,,Rillettes poisson,,Boulettes viande , Riz , Brocolis,Crème praliné,
12:44:30,7F0W,Rillettes poisson,,Boulettes viande , Riz , Brocolis,Crème praliné,
12:54:00,9I9S,salade de chou,,Boulettes viande , Riz , Brocolis,Tarte aux fruits,
12:56:00,3Y2G,Mini sandwich,,Roti légumes tofu , Riz , Brocolis,Emmental , Yaourt aux fruits en morceaux
12:57:00,4D2Y,Pas d'entrée,,Boulettes viande , Riz , Brocolis,Yaourt aux fruits en morceaux , Paris Brest
12:59:00,9R1R,Rillettes poisson,,Boulettes viande , Riz , Brocolis,Bleu d'Auvergne AOP,
13:00:00,4M4I,Betterave , Pâté,Boulettes viande , Riz , Brocolis,Pas de dessert,
13:01:00,9I1E,Pas d'entrée,,Pavé de poisson bordelaise , Riz , Brocolis ,Emmental , Tarte aux fruits
13:02:00,8A1R,Artichauts,,Roti légumes tofu , Riz , Brocolis,Bleu d'Auvergne AOP , Paris Brest
13:03:00,,Pas d'entrée,,Cordon bleu , Riz , Brocolis,Bleu d'Auvergne AOP , Yaourt aux fruits en morceaux
13:05:00,7Y2K,Artichauts,,Pavé de poisson bordelaise , Riz , Brocolis ,Pomme Gala , Pruneaux au sirop
13:04:00,,Rillettes poisson,,Pavé de poisson bordelaise , Riz , Brocolis ,Paris Brest , Pomme Gala
13:00:15,1F7A,Pas d'entrée,,Kebab , Frites ,,Yaourt aux fruits en morceaux , Pomme Gala
13:00:30,5Q8S,Betterave,,Pavé de poisson bordelaise , Riz , Brocolis ,Pomme Gala , Poire
13:03:30,3B1N,Betterave,,Boulettes viande , Riz,,Paris Brest , Yaourt nature
13:01:30,2E8R,Pas d'entrée,,Pavé de poisson bordelaise , Riz , Brocolis ,Bleu d'Auvergne AOP , Yaourt aux fruits en morceaux
12:56:20,8D7X,Betterave,,Cordon bleu , Riz , Brocolis,Paris Brest,
12:56:40,3U9V,salade de chou,,Cordon bleu , Riz , Brocolis,Tarte aux fruits,
13:05:30,8W0W,Pas d'entrée,,Pavé de poisson bordelaise , Riz , Brocolis ,Pomme Gala , Tarte aux fruits
13:06:00,5J1R,Salade de riz,,Pavé de poisson bordelaise , Riz , Brocolis ,Tarte aux fruits,
13:04:00,2N5P,Pas d'entrée,,Boulettes viande , Brocolis,,Yaourt aux fruits en morceaux , Paris Brest
13:03:45,4D8M,Pas d'entrée,,Pavé de poisson bordelaise , Riz ,,Emmental , Paris Brest
13:05:45,1U6R,Betterave,,Roti légumes tofu , Riz , Brocolis,Pomme Gala , Yaourt nature
13:06:30,1Q9K,Pas d'entrée,,Roti légumes tofu , Riz , Brocolis,Bleu d'Auvergne AOP , Yaourt aux fruits en morceaux
13:07:00,7A0X,Salade de riz,,Pavé de poisson bordelaise , Riz , Brocolis ,Yaourt aux fruits en morceaux,
13:09:00,0H5L,Betterave,,Pavé de poisson bordelaise , Riz , Brocolis ,Emmental , Paris Brest
13:09:30,9X1Z,Pâté,,Roti légumes tofu , Riz , Brocolis,Pomme Gala,
13:10:00,2J2X,Carottes rapees,,Filet de poulet , Riz , Boulettes viande ,Tarte aux fruits,
13:10:30,6A4U,Pas d'entrée,,Roti légumes tofu , Riz , Brocolis,Orange , Yaourt nature + Poire
13:16:30,1O0R,Salade de riz,,Boulettes viande , Riz , Brocolis,Emmental , Paris Brest
