;Horodateur;Numéro de formulaire ;PLAT_1;PLAT_2;PLAT_3;ENTREE_1;ENTREE_2;DESSERT_1;DESSERT_2;DESSERT_3
54; 12:52:54  ;2E1F;risottocourgettes;;;carottesrâpées;;yaourtauxfruits;flancchocolat;
55; 12:52:55  ;8G7E;pizzamerguezpoivrons;;;pasdentrée;;pasdedessert;;
56; 12:53:22  ;9I3J;hamburger;frites;;saladepates;;orange;;
57; 12:53:25  ;0I8Y;boeufbourguignon;torsades;poeléebrocolis;carottesrâpées;;faissellenature;flancchocolat;banane
58; 12:53:46  ;7N3X;boeufbourguignon;torsades;poeléebrocolis;champignons;;flancchocolat;;
59; 12:54:11  ;7I5L;boeufbourguignon;torsades;poeléebrocolis;pasdentrée;;yaourtauxfruits;kiwi;
60; 12:54:15  ;7N7F;risottocourgettes;;;saladelentilles;;mimolette;fromageblancfruitsrouges;
61; 12:54:35  ;7U3T;risottocourgettes;;;pasdentrée;;yaourtauxfruits;fromageblancfruitsrouges;banane
62; 12:54:50  ;2I9R;kebab;frites;;pasdentrée;;pasdedessert;;
63; 12:54:54  ;5D2H;boeufbourguignon;torsades;poeléebrocolis;pasdentrée;;yaourtauxfruits;;
64; 12:55:15  ;7F8H;boeufbourguignon;torsades;;pasdentrée;;yaourtauxfruits;;
65; 12:55:24  ;1Y9T;risottocourgettes;;;pasdentrée;;faissellenature;fromageblancfruitsrouges;pommegolden
66; 12:55:35  ;3M5G;risottocourgettes;;;oeufmimosa;;yaourtauxfruits;pommegolden;
67; 12:55:56  ;6H4A;risottocourgettes;;;pasdentrée;;faissellenature;fromageblancfruitsrouges;pommegolden
68; 12:56:03  ;4K3B;risottocourgettes;;;pasdentrée;;faissellenature;fromageblancfruitsrouges;
69; 12:56:18  ;7K6G;boeufbourguignon;torsades;;pasdentrée;;yaourtauxfruits;;
70; 12:56:34  ;0A2A;boeufbourguignon;torsades;;pasdentrée;;yaourtauxfruits;;
71; 12:57:00  ;4L1N;boeufbourguignon;torsades;;oeufmimosa;;yaourtnaturesucré;;
72; 12:57:06  ;7E6C;boeufbourguignon;torsades;;salami;champignons;yaourtauxfruits;;
73; 12:57:19  ;2G0T;feuilletésaumonoseille;torsades;;pasdentrée;;yaourtauxfruits;fromageblancfruitsrouges;
74; 12:57:33  ;8W7P;risottocourgettes;;;oeufmimosa;;mimolette;fromageblancfruitsrouges;
75; 12:57:39  ;0S7C;feuilletésaumonoseille;torsades;;oeufmimosa;;mimolette;;
