Horodateur,Numéro de formulaire ,ENTREE_1,ENTREE_2,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2
  13:16:07,6A3C,Pas d'entrée,,Pavé de cabillaud , Pommes de terre vapeur , Julienne de légumes,Compote ,
  13:16:38,2Y2Q,Pas d'entrée,,Filet de poulet , Pommes de terre vapeur , Julienne de légumes,Pomme granny , Compote
  13:16:45,3O6S,Pas d'entrée,,Filet de poulet , Pommes de terre vapeur,,Compote , Madeleine
  13:17:05,4S9Z,Chou,,Filet de poulet , Pommes de terre vapeur , Julienne de légumes,Compote ,
  13:17:44,2Y5X,Pas d'entrée,,Pizza,,,Orange,
  13:17:52,0N9G,Pas d'entrée,,Pizza,,,Pas de dessert,
  13:18:54,2H3W,Pas d'entrée,,Tajine végé ,,,Pas de dessert,
  13:20:31,2W9Z,Pas d'entrée,,Pavé de cabillaud , Pommes de terre vapeur , Salade verte ,Compote ,
  13:21:02,5M6R,Pas d'entrée,,Filet de poulet , Pommes de terre vapeur , Julienne de légumes,Compote ,
  13:21:33,8W1L,Pas d'entrée,,Filet de poulet , Pommes de terre vapeur , Julienne de légumes,Compote,
  13:22:49,6I6Y,Pas d'entrée,,Filet de poulet , Pommes de terre vapeur,,Pas de dessert,
  13:23:00,4L5H,Pas d'entrée,,Filet de poulet , Pommes de terre vapeur,,Pomme granny ,
  13:23:29,9W3C,Pas d'entrée,,Filet de poulet , Pommes de terre vapeur,,Pas de dessert,
  13:54:48,5H2S,Pas d'entrée,,Tajine végé , Salade verte ,,Pomme granny , Compote 
