
self.nb_tot_simmap(['Pizza'::0,'Dessert gourmand'::28,'Salade féculents'::52,'Viande +'::0,'Vege +'::0,'Poisson'::26,'Vege'::23,'Produit laitier'::81,'Viande'::52,'Crème dessert'::0,'Œufs'::2,'Crudités'::25,'Charcuterie'::32,'Fruit'::29,'Fromage'::2])fitness222.0choix_personnel_moyenne0.0 influence_env_moyenne: 0.1 influence_sociale_moyenne: 0.2
self.nb_tot_simmap(['Pizza'::0,'Dessert gourmand'::27,'Salade féculents'::50,'Viande +'::0,'Vege +'::0,'Poisson'::29,'Vege'::21,'Produit laitier'::74,'Viande'::51,'Crème dessert'::0,'Œufs'::1,'Crudités'::29,'Charcuterie'::25,'Fruit'::32,'Fromage'::3])fitness208.0choix_personnel_moyenne0.0 influence_env_moyenne: 0.1 influence_sociale_moyenne: 0.30000000000000004
self.nb_tot_simmap(['Pizza'::0,'Dessert gourmand'::30,'Salade féculents'::47,'Viande +'::0,'Vege +'::0,'Poisson'::28,'Vege'::23,'Produit laitier'::70,'Viande'::50,'Crème dessert'::0,'Œufs'::2,'Crudités'::32,'Charcuterie'::21,'Fruit'::34,'Fromage'::1])fitness204.0choix_personnel_moyenne0.0 influence_env_moyenne: 0.1 influence_sociale_moyenne: 0.4
self.nb_tot_simmap(['Pizza'::0,'Dessert gourmand'::32,'Salade féculents'::50,'Viande +'::0,'Vege +'::0,'Poisson'::25,'Vege'::23,'Produit laitier'::75,'Viande'::53,'Crème dessert'::0,'Œufs'::3,'Crudités'::31,'Charcuterie'::23,'Fruit'::24,'Fromage'::3])fitness220.0choix_personnel_moyenne0.0 influence_env_moyenne: 0.1 influence_sociale_moyenne: 0.5
self.nb_tot_simmap(['Pizza'::0,'Dessert gourmand'::24,'Salade féculents'::51,'Viande +'::0,'Vege +'::0,'Poisson'::30,'Vege'::20,'Produit laitier'::74,'Viande'::51,'Crème dessert'::0,'Œufs'::8,'Crudités'::28,'Charcuterie'::18,'Fruit'::36,'Fromage'::7])fitness185.0choix_personnel_moyenne0.0 influence_env_moyenne: 0.1 influence_sociale_moyenne: 0.6
self.nb_tot_simmap(['Pizza'::0,'Dessert gourmand'::35,'Salade féculents'::52,'Viande +'::0,'Vege +'::0,'Poisson'::21,'Vege'::26,'Produit laitier'::70,'Viande'::54,'Crème dessert'::0,'Œufs'::9,'Crudités'::25,'Charcuterie'::22,'Fruit'::33,'Fromage'::2])fitness229.0choix_personnel_moyenne0.0 influence_env_moyenne: 0.1 influence_sociale_moyenne: 0.7
self.nb_tot_simmap(['Pizza'::0,'Dessert gourmand'::23,'Salade féculents'::49,'Viande +'::0,'Vege +'::0,'Poisson'::24,'Vege'::23,'Produit laitier'::72,'Viande'::54,'Crème dessert'::0,'Œufs'::5,'Crudités'::29,'Charcuterie'::21,'Fruit'::26,'Fromage'::4])fitness210.0choix_personnel_moyenne0.0 influence_env_moyenne: 0.1 influence_sociale_moyenne: 0.7999999999999999
self.nb_tot_simmap(['Pizza'::0,'Dessert gourmand'::27,'Salade féculents'::48,'Viande +'::0,'Vege +'::0,'Poisson'::27,'Vege'::22,'Produit laitier'::75,'Viande'::52,'Crème dessert'::5,'Œufs'::2,'Crudités'::25,'Charcuterie'::29,'Fruit'::30,'Fromage'::3])fitness211.0choix_personnel_moyenne0.0 influence_env_moyenne: 0.1 influence_sociale_moyenne: 0.8999999999999999
self.nb_tot_simmap(['Pizza'::0,'Dessert gourmand'::22,'Salade féculents'::49,'Viande +'::0,'Vege +'::0,'Poisson'::26,'Vege'::22,'Produit laitier'::82,'Viande'::53,'Crème dessert'::0,'Œufs'::9,'Crudités'::16,'Charcuterie'::31,'Fruit'::30,'Fromage'::7])fitness207.0choix_personnel_moyenne0.0 influence_env_moyenne: 0.1 influence_sociale_moyenne: 0.9999999999999999
self.nb_tot_simmap(['Pizza'::0,'Dessert gourmand'::29,'Salade féculents'::45,'Viande +'::0,'Vege +'::0,'Poisson'::25,'Vege'::23,'Produit laitier'::66,'Viande'::53,'Crème dessert'::2,'Œufs'::10,'Crudités'::22,'Charcuterie'::19,'Fruit'::34,'Fromage'::4])fitness206.0choix_personnel_moyenne0.0 influence_env_moyenne: 0.2 influence_sociale_moyenne: 0.0
