;Horodateur;Numéro de formulaire;ENTREE;PLAT ;DESSERT
49;  13:01:17;2U2X;saladederiz;filetdepoulet;crèmepraliné
50;  13:01:17;3T0P;pasdentrée;rotidelégumesautofu+spaghettis;pomme
51;  13:01:34;1I1F;pasdentrée;kebab+frites;pasdedessert
52;  13:02:09;8A4O;betterave;filetdepoulet+spaghettis;orange+pomme
53;  13:02:18;2Y1M;betterave;poissonpané+spaghettis;yaourtnaturebio+compote
54;  13:03:01;8D5S;pasdentrée;filetdepoulet+spaghettis+mousselinedepotiron;banane+pomme
55;  13:03:17;4W5E;champignons;poissonpané+spaghettis+mousselinedepotiron;compote
56;  13:03:38;OW3D;choublanc;filetdepoulet+spaghettis+mousselinedepotiron;compote
57;  13:04:09;4U9D;pasdentrée;poissonpané+spaghettis+mousselinedepotiron;compote
58;  13:04:17;7E4C;choublanc;filetdepoulet+spaghettis;crèmepraliné
59;  13:04:30;5W6M;champignons;kebab+frites;roquefort
60;  13:04:37;7W5Y;champignons;poissonpané+spaghettis;yaourtnaturebio
61;  13:04:48;OI5C;pasdentrée;poissonpané+spaghettis+mousselinedepotiron;orange
62;  13:05:03;2D7O;rillettepoisson;poissonpané+spaghettis+mousselinedepotiron;yaourtnaturebio+compote
63;  13:05:14;8J2L;champignons;filetdepoulet+spaghettis+mousselinedepotiron;roquefort
64;  13:05:35;1L4G;pasdentrée;poissonpané+spaghettis;pomme
65;  13:05:41;1M2Q;pasdentrée;kebab+frites;yaourtnaturebio
66;  13:05:42;254Q;pasdentrée;kebab+salade;yaourtnaturebio
