Horodateur;Numéro de formulaire ;ENTREE;Prise en double de l'entrée ;PLAT ;DESSERT;Prise en double du dessert
 12:35:00;9D6N;Mini sandwich;Oui;Cordon bleu + Riz + Brocolis;Pomme Gala;Non
 12:36:38;5A5R;Salade de riz;Non;Cordon bleu + Riz + Brocolis;Tarte aux fruits;Non
 12:37:52;8S7L;Pas d'entrée;Non;Riz + Boulettes viande;Yaourt aux fruits en morceaux + Banane;Non
 12:38:09;8N6P;Salade de riz;Non;Cordon bleu + Riz + Brocolis;Paris Brest;Non
 12:39:08;1C5X;Salade de riz;Non;Roti légumes tofu + Riz + Brocolis;Tarte aux fruits;Oui
 12:39:19;0N3Z;Pas d'entrée;Non;Roti légumes tofu + Riz + Brocolis;Poire;Non
 12:40:10;7B2H;salade de chou;Non;Cordon bleu + Riz + Brocolis;Tarte aux fruits;Non
 12:40:49;9Q5A;Pas d'entrée;Non;Pavé de poisson bordelaise + Riz;Fromage blanc nature + Paris Brest;Oui
 12:41:09;3E1Q;Salade de riz;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Yaourt aux fruits en morceaux;Non
 12:41:17;3N5Y;Betterave;Non;Cordon bleu + Riz + Brocolis;Yaourt aux fruits en morceaux + Crème praliné;Non
 12:41:47;5LOV;Salade de riz;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Paris Brest;Non
 12:42:08;2Q8X;Pas d'entrée;Non;Pizza Kebab + Frites + Salade;Paris Brest + Orange + Cocktail Fruits exotiques;Oui
 12:43:11;2L4N;Pas d'entrée;Non;Cordon bleu + Riz + Brocolis;Fromage blanc nature + Tarte aux fruits;Non
 12:43:19;0Y1G;Pas d'entrée;Non;Boulettes viande + Riz + Brocolis;Yaourt aux fruits en morceaux + Paris Brest;Oui
 12:43:46;5C2M;Betterave;Non;Cordon bleu + Riz + Brocolis;Pruneaux au sirop + Yaourt nature;Non
 12:43:57;1J6P;Pas d'entrée;Non;Cordon bleu + Riz + Brocolis;Yaourt aux fruits en morceaux + Paris Brest ;Non
 12:44:07;2K9I;Pas d'entrée;Non;Cordon bleu + Riz + Brocolis;Emmental + Paris Brest;Non
 12:44:30;9W30;Pas d'entrée;Non;Cordon bleu + Riz;Paris Brest + Orange;Oui
 12:44:53;6T3Q;Pas d'entrée;Non;Cordon bleu + Riz + Brocolis;Yaourt aux fruits en morceaux + Paris Brest + Pomme Gala;Non
 12:45:07;2O7S;Betterave;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Paris Brest + Pruneaux au sirop;Non
 12:45:35;5U3X;Pas d'entrée;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Emmental + Yaourt aux fruits en morceaux;Oui
 12:46:41;5G9R;Pas d'entrée;Non;Filet de poulet + Riz + Brocolis;Yaourt aux fruits en morceaux + Poire;Oui
 12:47:09;0M0L;Pas d'entrée;Non;Cordon bleu + Riz + Brocolis;Emmental;Oui
 12:47:39;0E2X;Salade de riz;Oui;Cordon bleu + Riz + Brocolis;Paris Brest;Non
 12:48:20;0S4Y;Pas d'entrée;Non;Cordon bleu + Riz + Brocolis;Bleu d'Auvergne AOP + Paris Brest;Non
 12:49:01;2T3H;Artichauts ;Non;Cordon bleu + Riz + Brocolis;Yaourt aux fruits en morceaux;Non
 12:50:10;6M1O;Pâté;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Emmental + Paris Brest ;Non
 12:51:10;5Q8O;Betterave;Non;Boulettes viande + Riz + Brocolis;Paris Brest  ;Non
 12:51:47;8X6E;Artichauts;Non;Cordon bleu + Riz + Brocolis;Paris Brest + Liégeois;Non 
 12:52:09;5S7A;Pas d'entrée;Non;Boulettes viande + Riz + Brocolis;Yaourt aux fruits en morceaux + Paris Brest + Pruneaux au sirop;Non
 12:52:42;6E4S;Pas d'entrée;Non;Roti légumes tofu + Riz + Brocolis;Emmental + Tarte aux fruits;Non
 12:53:03;5B3U;Betterave;Non;Roti légumes tofu + Riz + Brocolis;Paris Brest + Pomme Gala;Non
 12:53:16;5S4C;salade de chou;Non;Roti légumes tofu + Riz + Brocolis;Tarte aux fruits;Non
 12:54:35;3K9G;Pas d'entrée;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Yaourt aux fruits en morceaux + Paris Brest;Oui
 12:55:02;6G4G;Pâté;Non;Filet de poulet + Riz + Brocolis;Paris Brest;Oui
 12:55:16;7F1D;Pas d'entrée;Non;Cordon bleu + Riz + Brocolis;Emmental  + Tarte aux fruits;Non
 12:55:41;5F9Z;Pas d'entrée;Non;Filet de poulet + Riz + Brocolis;Paris Brest + Yaourt nature;Oui
 12:56:02;;Pas d'entrée;Non;Boulettes viande + Riz + Brocolis;Paris Brest;Oui
 12:56:15;7R3E;Pas d'entrée;Non;Pizza Kebab + Frites + Salade;Pas de dessert;Non
 12:56:29;6C3U;Pas d'entrée;Non;Boulettes viande + Riz + Brocolis;Paris Brest;Oui
 12:56:54;8S7P;Salade de riz;Non;Cordon bleu + Riz + Brocolis;Paris Brest;Oui
 12:57:02;0Y5X;Salade de riz;Non;Boulettes viande + Riz + Brocolis;Tarte aux fruits;Non
 12:57:24;3Q5T;Salade de riz;Non;Cordon bleu + Riz + Brocolis;Paris Brest;Oui
 12:57:31;9I2L;Betterave;Non;Roti légumes tofu + Riz;Paris Brest;Non
 12:58:08;5Q0Y;Betterave;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Paris Brest + Yaourt nature;Non
 12:58:21;7V9Y;Pas d'entrée;Non;Pizza Kebab + Frites ;Pas de dessert;Non
 12:58:38;1I3P;Pas d'entrée;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Yaourt aux fruits en morceaux + Tarte aux fruits;Non
 12:58:49;7F0W;Rillettes poisson;Non;Boulettes viande + Riz + Brocolis;Crème praliné;Non
 12:58:52;8X0N;Pas d'entrée;Non;Kebab + Frites;Pas de dessert;Non
 12:59:34;8T1Q;Betterave;Non;Boulettes viande + Riz + Brocolis;Yaourt aux fruits en morceaux + Paris Brest;Non
 12:59:47;OR1F;Pas d'entrée;Non;Boulettes viande + Riz;Paris Brest + Liégeois;Non
13:00:13;1F7A;Pas d'entrée;Non;Kebab + Frites;Yaourt aux fruits en morceaux + Pomme Gala;Non 
13:00:37;7E5H;Artichauts;Non;Filet de poulet + Riz + Brocolis;Paris Brest + Pomme Gala;Non
13:01:09;5Q8S;Betterave;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Pomme Gala + Poire;Non
13:01:11;1V0X;Pas d'entrée;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Pomme Gala + Orange;Oui
13:01:43;;Betterave;Non;Filet de poulet + Riz + Brocolis;Paris Brest + Poire;Non
13:02:12;4P8C;Betterave;Non;Filet de poulet + Riz + Brocolis;Paris Brest + Poire;Non
13:02:24;5L7H;Salade de riz;Non;Roti légumes tofu + Riz + Brocolis;Paris Brest + Pomme Gala;Non
13:02:56;9YFK;Betterave;Non;Roti légumes tofu + Riz;Emmental ;Non
13:03:22;2U9G;Carottes rapees ;Non;Roti légumes tofu + Riz;Yaourt aux fruits en morceaux;Non
13:03:37;4A4Z;Pas d'entrée;Non;Roti légumes tofu + Riz + Brocolis;Emmental + Orange + Tarte aux fruits;Non
13:03:44;7H7Y;Pas d'entrée;Non;Filet de poulet + Riz + Brocolis;Paris Brest + Pomme Gala;Oui
13:04:49;3R8M;Salade de pates;Non;Roti légumes tofu + Brocolis;Emmental;Non
13:04:56;1F9Y;Salade de riz;Non;Boulettes viande + Riz + Brocolis;Paris Brest;Non
13:05:04;3U7V;Salade de riz;Non;Boulettes viande + Riz + Brocolis;Yaourt aux fruits en morceaux;Non 
13:05:34;8G6G;Mini sandwich;Non;Roti légumes tofu + Riz + Brocolis;Yaourt aux fruits en morceaux + Tarte aux fruits;Non
13:05:39;6G5H;Carottes rapees;Non;Boulettes viande + Riz + Brocolis;Emmental;Non
13:05:52;1U6R;Betterave;Non;Roti légumes tofu + Riz;Yaourt nature;Non
13:06:19;3V4C;Pas d'entrée;Non;Kebab + Frites;Pas de dessert;Non 
13:06:36;3O2U;Pas d'entrée;Non;Kebab + Frites;Pas de dessert;Non 
13:06:52;5Z4K;Pas d'entrée;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Yaourt nature + Liégeois ;Non
13:08:09;4U3U;Salade de riz;Non;Pavé de poisson bordelaise + Riz + Boulettes viande ;Paris Brest + Pruneaux au sirop;Non
13:08:21;7V3K;Artichauts;Oui;Pavé de poisson bordelaise + Roti légumes tofu + Riz;Pruneaux au sirop;Non
13:09:00;0U8E;Carottes rapees;Non;Pavé de poisson bordelaise + Riz;Yaourt aux fruits en morceaux + Poire ;Non
13:09:16;5R7Y;Carottes rapees;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Yaourt aux fruits en morceaux + Pomme Gala;Non
13:09:36;4O8C;Pâté;Non;Roti légumes tofu + Riz + Boulettes viande;Tarte aux fruits;Non
13:10:02;1Y7U;Carottes rapees + Salade de riz;Non;Boulettes viande + Riz;Yaourt aux fruits en morceaux;Non
13:10:14;2J2X;Carottes rapees;Non;Pavé de poisson bordelaise + Riz + Boulettes viande ;Tarte aux fruits;Non
13:10:19;7N0N;Pâté;Non;Roti légumes tofu + Riz + Boulettes viande;Yaourt aux fruits en morceaux + Liégeois;Non
13:10:38;8Q9F;Carottes rapees;Non;Roti légumes tofu + Riz + Brocolis;Paris Brest;Non
13:10:48;8G5E;Betterave;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Paris Brest;Non
13:12:22;1W3S;Pas d'entrée;Non;Boulettes viande + Riz + Brocolis;Yaourt aux fruits en morceaux + Tarte aux fruits;Non
13:12:29;9C8Y;Pas d'entrée;Non;Pavé de poisson bordelaise + Riz + Boulettes viande ;Gâteau de semoule + Paris Brest ;Non
13:12:22;1A9V;Carottes rapees;Non;Filet de poulet + Riz + Brocolis;Paris Brest;Non
13:12:43;3S5G;Mini sandwich;Non;Riz + Boulettes viande ;Paris Brest;Non
13:12:46;4E9P;Pâté;Non;Boulettes viande + Riz + Brocolis;Paris Brest;Non
13:13:16;1W5H;Pas d'entrée;Non;Pavé de poisson bordelaise + Riz + Boulettes viande ;Yaourt aux fruits en morceaux + Tarte aux fruits;Non
13:14:01;3V9C;Pas d'entrée;Non;Roti légumes tofu + Riz + Brocolis;Paris Brest;Non
13:14:26;1B0U;Pas d'entrée;Non;Roti légumes tofu + Riz + Brocolis;Bleu d'Auvergne AOP + Paris Brest;Non
13:14:52;6T3K;Pas d'entrée;Non;Roti légumes tofu + Riz + Brocolis;Bleu d'Auvergne AOP + Yaourt nature ;Non
13:15:25;8W1B;Salade de riz;Non;Roti légumes tofu + Riz + Brocolis;Pomme Gala + Orange;Non
13:16:23;2Z9H;Salade de riz;Oui;Boulettes viande + Riz;Pomme Gala;Non
13:17:07;3S3F;Salade de riz;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Paris Brest + Liégeois;Non
13:17:29;0T3B;Mini sandwich;Non;Boulettes viande + Riz;Yaourt aux fruits en morceaux + Poire;Non 
13:17:37;8N8Q;Pas d'entrée;Non;Kebab + Frites;Pas de dessert;Non
13:17:57;6F0E;Pas d'entrée;Non;Kebab + Frites;Pas de dessert;Non 
13:18:38;0X6C;Betterave + Salade de riz;Non;Boulettes viande + Brocolis ;Paris Brest ;Non
