Horodateur;Numéro de formulaire ;ENTREE;Prise en double de l'entrée ;PLAT ;DESSERT;Prise en double du dessert
13:19:18;0N9P;Pâté;Non;Pavé de poisson bordelaise + Roti légumes tofu + Riz;Yaourt aux fruits en morceaux + Paris Brest;Non
13:19:24;5I5D;salade de chou;Non;Boulettes viande + Riz + Brocolis;Tarte aux fruits;Non
13:19:47;9O9K;Pas d'entrée;Non;Boulettes viande + Riz;Yaourt aux fruits en morceaux + Paris Brest;Non
13:19:49;0H2B;Pas d'entrée;Non;Boulettes viande + Riz;Yaourt aux fruits en morceaux + Paris Brest;Non
13:20:49;4Z3U;salade de chou;Non;Roti légumes tofu + Riz + Brocolis;Pomme Gala + Orange;Non 
13:21:03;3S3F;Salade de riz;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Paris Brest + Liégeois;Non
13:21:21;9G6O;Pas d'entrée;Non;Kebab + Frites;Paris Brest ;Non
13:22:13;3S8I;Pas d'entrée;Non;Kebab + Frites;Pas de dessert;Non
13:23:32;9V3F;Pas d'entrée;Non;Kebab + Frites;Pas de dessert;Non
13:23:35;7L8N;Pas d'entrée;Non;Kebab + Frites;Pas de dessert;Non
13:24:00;3E3Y;Pas d'entrée;Non;Kebab + Frites;Pas de dessert;Non
13:24:39;1W7I;Champignons a l'italienne + Salade de riz;Non;Boulettes viande + Riz + Brocolis;Fromage blanc nature;Non
13:24:50;3I9X;Champignons a l'italienne;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Yaourt aux fruits en morceaux + Kiwi;Non
13:25:09;9M5B;Pâté;Non;Boulettes viande + Riz;Paris Brest ;Non
13:25:32;1R9D;Pâté;Non;Pavé de poisson bordelaise + Riz ;Paris Brest ;Non
13:26:12;3O6U;Pas d'entrée;Non;Boulettes viande + Riz;Yaourt aux fruits en morceaux + Paris Brest;Non
13:26:13;5Q1R;salade de chou;Non;Boulettes viande + Riz + Brocolis;Paris Brest + Pomme Gala;Non
13:26:36;9J7R;Mini sandwich + Pâté;Non;Boulettes viande + Riz + Brocolis;Paris Brest ;Non
13:27:16;4A7O;Pâté;Non;Roti légumes tofu + Riz + Boulettes viande;Paris Brest;Non
13:28:40;9B5K;Pâté;Non;Boulettes viande + Riz;Pas de dessert;Non
13:29:20;2R7A;Champignons a l'italienne;Non;Roti légumes tofu + Riz + Brocolis;Yaourt aux fruits en morceaux;Oui
13:30:11;102T;Pâté;Non;Roti légumes tofu + Riz + Boulettes viande;Paris Brest;Non
13:30:50;6C05;Salade de riz;Non;Pavé de poisson bordelaise + Roti légumes tofu + Riz;Yaourt aux fruits en morceaux + Paris Brest ;Non 
13:31:45;7T4X;Pas d'entrée;Non;Kebab + Frites ;Yaourt aux fruits en morceaux;Non
13:32:02;1J8K;Pas d'entrée;Non;Brocolis + Riz + Boulettes viande ;Pomme Gala;Non 
13:32:44;3V6V;salade de chou + Pâté;Non;Boulettes viande + Riz ;Poire;Non
13:33:31;6T0P;Betterave;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Paris Brest + Kiwi;Non
13:33:47;OI6B;Pas d'entrée;Non;Boulettes viande + Riz ;Yaourt aux fruits en morceaux + Paris Brest;Oui
13:34:17;7P1T;Salade de riz;Non;Pavé de poisson bordelaise + Brocolis + Riz;Paris Brest;Non
13:34:21;5C9D;Pas d'entrée;Non;Pavé de poisson bordelaise + Riz ;Yaourt aux fruits en morceaux + Poire;Oui
13:35:12;0G1P;Carottes rapees;Non;Boulettes viande + Riz ;Orange + Poire;Non
13:35:22;8Z9E;Pas d'entrée;Non;Entrecôte + Frites + Salade ;Bleu d'Auvergne AOP + Paris Brest;Non
13:35:45;9W3F;Pas d'entrée;Non;Kebab + Frites ;Yaourt nature;Non
13:36:28;7X7O;Pas d'entrée;Non;Entrecôte + Frites + Salade ;Pas de dessert;Non
13:36:37;3V0A;salade de chou;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Paris Brest ;Oui
13:37:16;2W6P;Artichauts;Non;Boulettes viande + Riz + Brocolis;Paris Brest ;Non
13:38:04;1V8P;Mini sandwich + Rillettes poisson;Non;Pavé de poisson bordelaise + Riz;Paris Brest;Non
13:38:37;9Z3C;salade de chou;Non;Roti légumes tofu + Riz;Pruneaux au sirop;Non
13:39:36;2W1Q;Pas d'entrée;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Pomme Gala + Orange + Pruneaux au sirop;Non
12:40:00;3C4H;Pâté;Non;Boulettes viande + Riz;Tarte aux fruits;Non
12:41:00;5C2M;Betterave;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Pruneaux au sirop;Non
12:43:00;5X3K;Salade de riz;Non;Roti légumes tofu + Riz + Brocolis;Tarte aux fruits;Non
12:44:00;7B9M;salade de chou;Non;Cordon bleu + Riz + Brocolis;Paris Brest;Non
12:44:15;;Rillettes poisson;Non;Boulettes viande + Riz + Brocolis;Crème praliné;Non
12:44:30;7F0W;Rillettes poisson;Non;Boulettes viande + Riz + Brocolis;Crème praliné;Non
12:54:00;9I9S;salade de chou;Non;Boulettes viande + Riz + Brocolis;Tarte aux fruits;Non
12:56:00;3Y2G;Mini sandwich;Non;Roti légumes tofu + Riz + Brocolis;Emmental + Yaourt aux fruits en morceaux;Non
12:57:00;4D2Y;Pas d'entrée;Non;Boulettes viande + Riz + Brocolis;Yaourt aux fruits en morceaux + Paris Brest;Non
12:59:00;9R1R;Rillettes poisson;Non;Boulettes viande + Riz + Brocolis;Bleu d'Auvergne AOP;Non
13:00:00;4M4I;Betterave + Pâté;Non;Boulettes viande + Riz + Brocolis;Pas de dessert;Non
13:01:00;9I1E;Pas d'entrée;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Emmental + Tarte aux fruits;Non 
13:02:00;8A1R;Artichauts;Non;Roti légumes tofu + Riz + Brocolis;Bleu d'Auvergne AOP + Paris Brest;Non
13:03:00;;Pas d'entrée;Non;Cordon bleu + Riz + Brocolis;Bleu d'Auvergne AOP + Yaourt aux fruits en morceaux;Non
13:05:00;7Y2K;Artichauts;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Pomme Gala + Pruneaux au sirop;Non
13:04:00;;Rillettes poisson;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Paris Brest + Pomme Gala;Non
13:00:15;1F7A;Pas d'entrée;Non;Kebab + Frites ;Yaourt aux fruits en morceaux + Pomme Gala;Non
13:00:30;5Q8S;Betterave;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Pomme Gala + Poire;Non
13:03:30;3B1N;Betterave;Non;Boulettes viande + Riz;Paris Brest + Yaourt nature;Non
13:01:30;2E8R;Pas d'entrée;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Bleu d'Auvergne AOP + Yaourt aux fruits en morceaux;Non
12:56:20;8D7X;Betterave;Non;Cordon bleu + Riz + Brocolis;Paris Brest;Non
12:56:40;3U9V;salade de chou;Non;Cordon bleu + Riz + Brocolis;Tarte aux fruits;Non
13:05:30;8W0W;Pas d'entrée;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Pomme Gala + Tarte aux fruits;Non
13:06:00;5J1R;Salade de riz;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Tarte aux fruits;Non
13:04:00;2N5P;Pas d'entrée;Non;Boulettes viande + Brocolis;Yaourt aux fruits en morceaux + Paris Brest;Non
13:03:45;4D8M;Pas d'entrée;Non;Pavé de poisson bordelaise + Riz ;Emmental + Paris Brest;Oui
13:05:45;1U6R;Betterave;Non;Roti légumes tofu + Riz + Brocolis;Pomme Gala + Yaourt nature;Non
13:06:30;1Q9K;Pas d'entrée;Non;Roti légumes tofu + Riz + Brocolis;Bleu d'Auvergne AOP + Yaourt aux fruits en morceaux;Non
13:07:00;7A0X;Salade de riz;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Yaourt aux fruits en morceaux;Non
13:09:00;0H5L;Betterave;Non;Pavé de poisson bordelaise + Riz + Brocolis ;Emmental + Paris Brest;Non
13:09:30;9X1Z;Pâté;Non;Roti légumes tofu + Riz + Brocolis;Pomme Gala;Non
13:10:00;2J2X;Carottes rapees;Non;Filet de poulet + Riz + Boulettes viande ;Tarte aux fruits;Non
13:10:30;6A4U;Pas d'entrée;Non;Roti légumes tofu + Riz + Brocolis;Orange + Yaourt nature + Poire;Non
13:16:30;1O0R;Salade de riz;Non;Boulettes viande + Riz + Brocolis;Emmental + Paris Brest;Non
