;Horodateur;Numéro de formulaire ;ENTREE;PLAT ;DESSERT
59; 12:54:11  ;7I5L;pasdentrée;boeufbourguignon+torsades+poeléebrocolis;yaourtauxfruits+kiwi
60; 12:54:15  ;7N7F;saladelentilles;risottocourgettes;mimolette+fromageblancfruitsrouges
61; 12:54:35  ;7U3T;pasdentrée;risottocourgettes;yaourtauxfruits+fromageblancfruitsrouges+banane
62; 12:54:50  ;2I9R;pasdentrée;kebab+frites;pasdedessert
63; 12:54:54  ;5D2H;pasdentrée;boeufbourguignon+torsades+poeléebrocolis;yaourtauxfruits
64; 12:55:15  ;7F8H;pasdentrée;boeufbourguignon+torsades;yaourtauxfruits
65; 12:55:24  ;1Y9T;pasdentrée;risottocourgettes;faissellenature+fromageblancfruitsrouges+pommegolden
66; 12:55:35  ;3M5G;oeufmimosa;risottocourgettes;yaourtauxfruits+pommegolden
67; 12:55:56  ;6H4A;pasdentrée;risottocourgettes;faissellenature+fromageblancfruitsrouges+pommegolden
68; 12:56:03  ;4K3B;pasdentrée;risottocourgettes;faissellenature+fromageblancfruitsrouges
69; 12:56:18  ;7K6G;pasdentrée;boeufbourguignon+torsades;yaourtauxfruits
70; 12:56:34  ;0A2A;pasdentrée;boeufbourguignon+torsades;yaourtauxfruits
71; 12:57:00  ;4L1N;oeufmimosa;boeufbourguignon+torsades;yaourtnaturesucré
72; 12:57:06  ;7E6C;salami+champignons;boeufbourguignon+torsades;yaourtauxfruits
73; 12:57:19  ;2G0T;pasdentrée;feuilletésaumonoseille+torsades;yaourtauxfruits+fromageblancfruitsrouges
74; 12:57:33  ;8W7P;oeufmimosa;risottocourgettes;mimolette+fromageblancfruitsrouges
75; 12:57:39  ;0S7C;oeufmimosa;feuilletésaumonoseille+torsades;mimolette
76; 12:57:54  ;8H6H;pasdentrée;feuilletésaumonoseille+torsades;yaourtauxfruits
77; 12:58:36  ;0P2F;pasdentrée;feuilletésaumonoseille+torsades;yaourtauxfruits
78; 12:58:41  ;1J4B;pasdentrée;feuilletésaumonoseille+torsades;yaourtauxfruits
79; 12:59:10  ;7F5N;pasdentrée;kebab+frites;pasdedessert
80; 12:59:24  ;1N9S;pasdentrée;risottocourgettes;yaourtauxfruits+fromageblancfruitsrouges
81; 12:59:32  ;2B3R;coeursdepalmiers;risottocourgettes;mimolette+fromageblancfruitsrouges
82; 13:00:08  ;2A2L;pasdentrée;boeufbourguignon+torsades+poeléebrocolis;yaourtauxfruits
83; 13:013:06  ;7S9S;oeufmimosa+artichauts;boeufbourguignon+torsades;yaourtnaturesucré
84; 13:013:35  ;5C7B;saladelentilles;risottocourgettes;fromageblancfruitsrouges+orange
85; 13:013:50  ;8M9W;champignons+coeursdepalmiers;feuilletésaumonoseille+torsades+poeléebrocolis;yaourtauxfruits
86; 13:013:59  ;5B2Z;pasdentrée;boeufbourguignon+torsades+poeléebrocolis;fromageblancfruitsrouges
87; 13:02:29  ;2G2S;pasdentrée;feuilletésaumonoseille+torsades+poeléebrocolis;yaourtnaturesucré
88; 13:02:30  ;0O5Q;saladelentilles;boeufbourguignon+torsades+poeléebrocolis;yaourtauxfruits
89; 13:02:43  ;4D4V;oeufmimosa+salami;boeufbourguignon+torsades+poeléebrocolis;orange
90; 13:02:52  ;9J6M;oeufmimosa;boeufbourguignon+torsades+poeléebrocolis;fromageblancfruitsrouges
91; 13:03:10  ;4T1L;pasdentrée;feuilletésaumonoseille+torsades+poeléebrocolis;yaourtauxfruits+fromageblancfruitsrouges
92; 13:03:15  ;5Y6U;tomates;risottocourgettes;yaourtauxfruits+kiwi
93; 13:03:29  ;3W6I;pasdentrée;boeufbourguignon+torsades+poeléebrocolis;faissellenature+fromageblancfruitsrouges
94; 13:04:06  ;1W8I;oeufmimosa;boeufbourguignon+torsades;yaourtauxfruits+banane
95; 13:04:26  ;8U4S;pasdentrée;pizzaraclette;banane
96; 13:04:43  ;6L3J;pasdentrée;risottocourgettes;yaourtauxfruits+fromageblancfruitsrouges+pommegolden
97; 13:05:02  ;0G5M;pasdentrée;feuilletésaumonoseille+torsades;yaourtauxfruits+fromageblancfruitsrouges
98; 13:05:12  ;6C9H;pasdentrée;feuilletésaumonoseille+torsades+poeléebrocolis;fromageblancfruitsrouges+pommegolden
99; 13:05:43  ;5I3E;artichauts;boeufbourguignon+torsades+poeléebrocolis;yaourtauxfruits
100; 13:05:56  ;7U7X;chouxblancàlajaponaise;feuilletésaumonoseille+torsades+poeléebrocolis;fromageblancfruitsrouges+kiwi
101; 13:06:08  ;2H8Q;saladelentilles;boeufbourguignon+torsades+poeléebrocolis;fromageblancfruitsrouges+pommegolden
102; 13:06:32  ;5T1N;salami;boeufbourguignon+torsades+poeléebrocolis;faissellenature+fromageblancfruitsrouges
103; 13:08:14  ;9P8X;saladelentilles;boeufbourguignon+torsades+poeléebrocolis;fromageblancfruitsrouges+pommegolden
104; 13:08:22  ;1M5C;saladelentilles;feuilletésaumonoseille+torsades+poeléebrocolis;yaourtauxfruits
105; 13:08:33  ;9A6W;pasdentrée;pizzamerguezpoivrons;pasdedessert
106; 13:08:58  ;1T2N;champignons;feuilletésaumonoseille+torsades+poeléebrocolis;faissellenature+pommegolden
107; 13:09:04  ;9Y6D;pasdentrée;risottocourgettes;fromageblancfruitsrouges+orange
108; 13:09:21  ;2W9X;chouxblancàlajaponaise+artichauts;boeufbourguignon+torsades+poeléebrocolis;fromageblancfruitsrouges
109; 13:09:38  ;6W8Z;saladelentilles;risottocourgettes;fromageblancfruitsrouges+orange
110; 13:09:50  ;2E8L;chouxblancàlajaponaise;feuilletésaumonoseille+torsades+poeléebrocolis;faissellenature
111; 13:113:24  ;2U4F;saladelentilles;boeufbourguignon+torsades+poeléebrocolis;fromageblancfruitsrouges+orange
112; 13:113:45  ;0S0Q;saladelentilles;boeufbourguignon+torsades+poeléebrocolis;fromageblancfruitsrouges+pommegolden
113; 13:12:05  ;0R4C;saladelentilles;boeufbourguignon+torsades+poeléebrocolis;yaourtnaturesucré+fromageblancfruitsrouges
114; 13:12:31  ;6O4Y;pasdentrée;feuilletésaumonoseille+torsades;yaourtnaturesucré+pommegolden+kiwi
115; 13:12:52  ;0A4U;saladelentilles;boeufbourguignon+torsades;yaourtnaturesucré+fromageblancfruitsrouges
116; 13:13:28  ;6U1H;pasdentrée;boeufbourguignon+torsades;pasdedessert
117; 13:14:12  ;1L0F;saladelentilles;risottocourgettes;faissellenature
118; 13:14:25  ;4T9L;artichauts;kebab+frites;pommegolden
119; 13:14:51  ;5W4J;pasdentrée;feuilletésaumonoseille+torsades;faissellenature
120; 13:15:23  ;1P5N;pasdentrée;feuilletésaumonoseille+torsades;fromageblancfruitsrouges
121; 13:15:46  ;6Z9V;pasdentrée;feuilletésaumonoseille+torsades;fromageblancfruitsrouges+pommegolden+kiwi
122; 13:16:11  ;2G3P;pasdentrée;boeufbourguignon+torsades;fromageblancfruitsrouges
123; 13:16:22  ;1Y1C;pasdentrée;boeufbourguignon+torsades;yaourtnaturesucré+fromageblancfruitsrouges
124; 13:16:47  ;0R7V;chouxblancàlajaponaise;feuilletésaumonoseille+torsades+poeléebrocolis;faissellenature+fromageblancfruitsrouges
125; 13:16:57  ;7P8D;pasdentrée;boeufbourguignon+torsades+poeléebrocolis;faissellenature+pommegolden
126; 13:17:12  ;1T9W;pasdentrée;feuilletésaumonoseille+torsades+poeléebrocolis;fromageblancfruitsrouges+pommegolden
127; 13:17:30  ;1W6X;pasdentrée;feuilletésaumonoseille+torsades+poeléebrocolis;fromageblancfruitsrouges
128; 13:17:39  ;5O0Y;chouxblancàlajaponaise;boeufbourguignon+torsades;fromageblancfruitsrouges
129; 13:18:29  ;3R5P;tomates;boeufbourguignon+torsades+poeléebrocolis;fromageblancfruitsrouges
130; 13:18:57  ;8K4B;pasdentrée;feuilletésaumonoseille+torsades+poeléebrocolis;fromageblancfruitsrouges+pommegolden
