Horodateur;Numéro de formulaire ;ENTREE;Prise en double de l'entrée ;PLAT ;DESSERT;Prise en double du dessert
  13:15:07;7M6P;Pas d'entrée;Non;Boeuf bourguignon + Pommes de terre vapeur;Compote + Madeleine;Oui
  13:15:20;7A7P;Pas d'entrée;Non;Filet de poulet + Pommes de terre vapeur + Julienne de légumes;Compote + Madeleine;Oui
  13:15:36;6K3Y;Chou;Non;Filet de poulet + Pommes de terre vapeur + Julienne de légumes;Madeleine;Non
  13:15:44;2Y1K;Pas d'entrée;Non;Filet de poulet + Pommes de terre vapeur + Julienne de légumes;Compote + Madeleine;Non
  13:16:07;6A3C;Pas d'entrée;Non;Pavé de cabillaud + Pommes de terre vapeur + Julienne de légumes;Compote ;Non
  13:16:38;2Y2Q;Pas d'entrée;Non;Filet de poulet + Pommes de terre vapeur + Julienne de légumes;Pomme granny + Compote;Non
  13:16:45;3O6S;Pas d'entrée;Non;Filet de poulet + Pommes de terre vapeur;Compote + Madeleine;Oui
  13:17:05;4S9Z;Chou;Non;Filet de poulet + Pommes de terre vapeur + Julienne de légumes;Compote ;Non
  13:17:44;2Y5X;Pas d'entrée;Non;Pizza;Orange;Non
  13:17:52;0N9G;Pas d'entrée;Non;Pizza;Pas de dessert;Non
  13:18:54;2H3W;Pas d'entrée;Non;Tajine végé ;Pas de dessert;Non
  13:20:31;2W9Z;Pas d'entrée;Non;Pavé de cabillaud + Pommes de terre vapeur + Salade verte ;Compote ;Non
  13:21:02;5M6R;Pas d'entrée;Non;Filet de poulet + Pommes de terre vapeur + Julienne de légumes;Compote ;Oui
  13:21:33;8W1L;Pas d'entrée;Non;Filet de poulet + Pommes de terre vapeur + Julienne de légumes;Compote;Oui
  13:22:49;6I6Y;Pas d'entrée;Non;Filet de poulet + Pommes de terre vapeur;Pas de dessert;Non
  13:23:00;4L5H;Pas d'entrée;Non;Filet de poulet + Pommes de terre vapeur;Pomme granny ;Non
  13:23:29;9W3C;Pas d'entrée;Non;Filet de poulet + Pommes de terre vapeur;Pas de dessert;Non
  13:54:48;5H2S;Pas d'entrée;Non;Tajine végé + Salade verte ;Pomme granny + Compote ;Non
