,Unnamed: 0_x,Genre,¬ge,Taille (m),Poids (kg),IMC ,ActivitÈ physique,RÈgime particulier,VÈgÈ,Equilibre alim,Nb groupe entrÈe,ProximitÈ,Influ sociale,Percept senso,Faim,Stress,Nb convives ,Ami 1,Ami 2,Ami 3 ,Ami 4,Ami 5,Unnamed: 0_y,torsades,feuillet√©saumonoseille,boeufbourguignon,kebab,risottocourgettes,pizzaraclette,faux-filet,pizzamerguezpoivrons,hamburger,escalopeviennoise,poel√©ebrocolis,frites,torsadespoel√©ebrocolis,ratatouille,chouxblanc√†lajaponaise,saladelentilles,champignons,carottesr√¢p√©es,oeufmimosa,saladepates,artichauts,salami,coeursdepalmiers,tomates,yaourtauxfruits,≈ìuf√†laneige,faissellenature,yaourtnaturesucr√©,fromageblancfruitsrouges,banane,mimolette,flancchocolat,faissellenatureflancchocolat,orange,yaourtnaturesucr√©yaourtauxfruits,pommegolden,kiwi,Horodateur
9P8X,10,M,22,"1,7",70,"24,22145329",1.5456794047854434,0,0,2.100363859767876,3,0,0.6372288490492298,-1.4039732215878509,-0.323661595420856,0.0597534681150133,2,9K7A,,,,,103,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0, 13:08:14  
2G3P,13,M,20,"1,69",65,"22,75830678",-1.7318083383459943,0,0,1.1326194192604928,2,1,0.6372288490492298,0.4913906275557479,-0.323661595420856,0.0597534681150133,2,8O4J,,,,,122,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:16:11  
0R7V,14,M,18,"1,82",58,"17,50996256",-0.6393124239688485,0,0,-0.8028694617542734,2,0,-0.6372288490492298,-0.4562912970160515,-0.323661595420856,-1.0158089579552263,2,1Y1C,,,,,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:16:47  
1Y1C,15,M,19,"1,6",65,"25,390625",-1.7318083383459943,0,0,-0.8028694617542734,2,0,-0.6372288490492298,-1.4039732215878509,1.0004085676644638,-1.0158089579552263,2,0R7V,,,,,123,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:16:22  
2H8Q,16,M,20,"1,75",75,"24,48979592",1.5456794047854434,0,0,0.1648749787531096,4,0,-0.6372288490492298,-0.4562912970160515,1.0004085676644638,-1.0158089579552263,4,2E8L,,,,,101,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0, 13:06:08  
9A6W,17,M,21,"1,8",75,"23,14814815",0.4531834904082975,0,0,0.1648749787531096,1,0,-0.6372288490492298,-0.4562912970160515,-0.323661595420856,-1.0158089579552263,1,,,,,,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:08:33  
7P8D,18,M,21,"1,79",100,"31,21001217",-1.7318083383459943,0,0,0.1648749787531096,1,0,-0.6372288490492298,0.4913906275557479,-1.647731758506176,0.0597534681150133,1,,,,,,125,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0, 13:16:57  
3R5P,19,F,21,"1,63",42,"15,80789642",0.4531834904082975,0,0,2.100363859767876,2,0,-0.6372288490492298,1.4390725521275474,1.0004085676644638,0.0597534681150133,3,1W6X,1T9W,,,,129,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:18:29  
6O4Y,20,M,19,"1,85",74,"21,62162162",-0.6393124239688485,0,0,0.1648749787531096,6,1,-0.6372288490492298,-1.4039732215878509,1.0004085676644638,1.135315894185253,5,0S0Q,0A4U,0R4C,2U4F,,114,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0, 13:12:31  
7N3X,21,M,18,"1,67",52,"18,64534404",-0.6393124239688485,0,0,0.1648749787531096,2,0,-0.6372288490492298,-0.4562912970160515,1.0004085676644638,0.0597534681150133,2,7I5L,,,,,58,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, 12:53:46  
0A4U,22,M,19,"1,78",59,"18,62138619",-1.7318083383459943,0,0,0.1648749787531096,6,1,-0.6372288490492298,1.4390725521275474,-0.323661595420856,-1.0158089579552263,5,0R4C,6O4Y,0S0Q,2U4F,,115,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:12:52  
7I5L,23,M,18,"1,75",89,"29,06122449",0.4531834904082975,0,0,1.1326194192604928,2,1,-0.6372288490492298,-1.4039732215878509,-0.323661595420856,1.135315894185253,2,7N3X,,,,,59,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, 12:54:11  
