coeff_autre_moyenne,coeff_autre_sociale_et,coeff_amis_moyenne,coeff_amis_et,influence_sociale_moyenne,influence_sociale_et,influence_env_moyenne,influence_env_et,delta_moyenne,delat_et,choix_personnel_moyenne,choix_personnel_et,proba_depassement1point,proba_manque1point,proba_depassement2points,force_perception_plat,proba_autre_entree,proba_autre_dessert,proba_encore,temps_entre_groupes,seuil_influence_etudiant_queue,Charcuterie_correction,Crudites_correction,Entree_poisson_correction,Salade_feculents_correction,Viande___correction,Pizza_correction,Accompagnement___correction,Accompagnement_correction,Viande_correction,Poisson_correction,Vege_correction,Fruit_correction,Produit_laitier_correction,Creme_dessert_correction,Fruits_gourmands_correction,Dessert_gourmand_correction,Fromage_correction,fitness
0.2,0.4,0.7,0.8,0.8,0.1,0.2,1.0,0.3,0.4,0.5,0.9,0.5,0.4,1.0,2.8,0.5,0.4,0.3,40.0,8,0.25,0.9,0.85,-0.15,0.6,-0.9,0.9,0.4,0.05,-0.5,-0.75,-0.85,0.35,-0.85,0.85,-0.35,-0.7,130.0
0.4,0.3,0.6,0.7,0.3,0.6,0.3,0.1,0.7,0.4,0.7,0.3,0.0,0.3,0.8,0.6,0.2,0.8,0.1,44.0,4,0.0,-0.6,-0.55,-0.3,0.65,-0.6,0.15,1.0,0.35,0.05,-0.3,0.75,0.2,-0.05,0.15,-0.45,0.4,115.0
0.1,0.9,0.8,0.9,0.5,0.3,1.0,0.4,0.8,0.6,0.4,0.5,0.9,0.0,0.3,1.1,0.7,1.0,0.8,39.0,4,-0.7,0.05,0.95,0.65,-0.1,1.0,-0.1,0.45,0.25,0.8,0.6,-0.45,-0.4,-0.6,-0.7,-0.3,-0.65,122.0
0.9,0.7,0.5,0.7,0.3,0.0,0.8,0.3,0.9,0.9,0.0,0.9,0.8,0.4,0.9,1.9,0.7,0.8,0.5,34.0,7,-0.15,0.95,0.6,0.8,0.7,0.4,-0.8,0.2,-0.95,0.7,-0.2,0.65,0.25,0.0,-0.1,0.2,-0.75,91.0
0.2,0.2,0.2,0.8,0.4,0.8,0.4,0.0,0.9,0.6,0.6,0.8,0.6,0.3,0.6,0.2,0.2,0.5,0.6,30.0,2,-0.4,-0.6,-0.3,0.45,-0.15,0.1,-0.3,0.15,-0.5,0.95,-0.7,0.85,0.05,-0.85,0.0,-0.4,-0.15,86.0
0.9,0.1,0.1,0.0,1.0,1.0,0.6,0.6,0.5,0.7,0.0,0.8,0.5,0.6,0.9,1.7,0.0,0.0,0.9,18.0,3,0.15,-0.7,0.65,0.6,0.95,-0.95,0.55,-0.15,-0.85,-0.75,-0.85,-0.65,0.4,-0.85,-0.7,-0.25,0.7,84.0
0.2,0.9,0.4,0.3,0.6,0.5,1.0,0.5,0.9,0.5,0.2,0.2,0.4,0.4,0.7,2.7,0.8,0.9,0.7,48.0,4,-1.0,0.3,-0.85,0.7,-0.15,-0.95,0.6,-0.75,-0.1,-0.75,0.95,-0.65,0.85,0.2,0.5,0.1,0.05,96.0
0.1,0.9,0.7,0.2,0.6,0.1,0.6,0.7,0.2,0.9,0.3,1.0,0.7,0.1,0.1,1.0,0.1,0.5,0.8,21.0,1,0.55,0.25,-0.7,-0.5,-0.7,-0.4,0.8,0.3,0.3,0.8,-0.5,-0.15,-0.35,0.85,-0.75,-0.35,-0.3,113.0
0.0,0.0,0.5,0.2,0.3,0.2,0.9,0.1,0.8,0.4,0.0,0.8,0.5,1.0,0.8,1.0,0.2,0.1,0.2,29.0,9,0.05,-0.15,-0.05,-0.6,0.2,0.35,-0.2,0.25,0.5,-0.85,-0.9,0.0,0.05,-0.25,0.7,-0.35,-0.9,97.0
0.4,0.8,0.7,0.8,0.6,0.3,0.7,0.3,0.4,0.3,0.9,0.4,0.7,0.2,0.6,0.2,0.9,0.1,0.2,49.0,8,-0.75,-0.45,-0.2,-0.4,0.15,-0.15,-0.2,0.4,-0.3,0.1,0.6,-0.05,-0.15,-0.15,-0.65,0.9,-0.2,155.0
0.1,0.5,0.9,0.3,0.8,0.1,0.4,0.7,0.8,0.5,0.3,0.1,0.4,0.1,0.7,1.8,0.5,0.5,0.3,20.0,9,0.0,-0.15,-0.35,0.0,-0.75,0.6,0.3,-0.1,-0.95,-0.8,-0.2,-0.25,0.2,0.95,0.55,-0.15,0.35,79.0
