Unnamed: 0,Horodateur,Numéro de formulaire ,ENTREE_1,ENTREE_2,ENTREE_3,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2,DESSERT_3
0, 12:35:00,9D6N,minisandwich,,,cordonbleu,riz,brocolis,pommegala,,
1, 12:36:38,5A5R,saladederiz,,,cordonbleu,riz,brocolis,tarteauxfruits,,
2, 12:37:52,8S7L,pasdentrée,,,boulettesviande,riz,,yaourtauxfruitsenmorceaux,banane,
3, 12:38:09,8N6P,saladederiz,,,cordonbleu,riz,brocolis,parisbrest,,
4, 12:39:08,1C5X,saladederiz,,,rotilégumestofu,riz,brocolis,tarteauxfruits,,
5, 12:39:19,0N3Z,pasdentrée,,,rotilégumestofu,riz,brocolis,poire,,
6, 12:40:10,7B2H,saladedechou,,,cordonbleu,riz,brocolis,tarteauxfruits,,
7, 12:40:49,9Q5A,pasdentrée,,,pavédepoissonbordelaise,riz,,fromageblancnature,parisbrest,
8, 12:41:09,3E1Q,saladederiz,,,pavédepoissonbordelaise,riz,brocolis,yaourtauxfruitsenmorceaux,,
9, 12:41:17,3N5Y,betterave,,,cordonbleu,riz,brocolis,yaourtauxfruitsenmorceaux,crèmepraliné,
10, 12:41:47,5LOV,saladederiz,,,pavédepoissonbordelaise,riz,brocolis,parisbrest,,
11, 12:42:08,2Q8X,pasdentrée,,,pizzakebab,frites,salade,parisbrest,orange,cocktailfruitsexotiques
12, 12:43:11,2L4N,pasdentrée,,,cordonbleu,riz,brocolis,fromageblancnature,tarteauxfruits,
13, 12:43:19,0Y1G,pasdentrée,,,boulettesviande,riz,brocolis,yaourtauxfruitsenmorceaux,parisbrest,
14, 12:43:46,5C2M,betterave,,,cordonbleu,riz,brocolis,pruneauxausirop,yaourtnature,
15, 12:43:57,1J6P,pasdentrée,,,cordonbleu,riz,brocolis,yaourtauxfruitsenmorceaux,parisbrest,
16, 12:44:07,2K9I,pasdentrée,,,cordonbleu,riz,brocolis,emmental,parisbrest,
17, 12:44:30,9W30,pasdentrée,,,cordonbleu,riz,,parisbrest,orange,
18, 12:44:53,6T3Q,pasdentrée,,,cordonbleu,riz,brocolis,yaourtauxfruitsenmorceaux,parisbrest,pommegala
19, 12:45:07,2O7S,betterave,,,pavédepoissonbordelaise,riz,brocolis,parisbrest,pruneauxausirop,
