Unnamed: 0,Horodateur,Numéro de formulaire ,ENTREE_1,ENTREE_2,ENTREE_3,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2,DESSERT_3
54,  13:15:44,2Y1K,pasdentrée,,,filetdepoulet,pommesdeterrevapeur,juliennedelégumes,compote,madeleine,
55,  13:16:07,6A3C,pasdentrée,,,pavédecabillaud,pommesdeterrevapeur,juliennedelégumes,compote,,
56,  13:16:38,2Y2Q,pasdentrée,,,filetdepoulet,pommesdeterrevapeur,juliennedelégumes,pommegranny,compote,
57,  13:16:45,3O6S,pasdentrée,,,filetdepoulet,pommesdeterrevapeur,,compote,madeleine,
58,  13:17:05,4S9Z,chou,,,filetdepoulet,pommesdeterrevapeur,juliennedelégumes,compote,,
59,  13:17:44,2Y5X,pasdentrée,,,pizza,,,orange,,
60,  13:17:52,0N9G,pasdentrée,,,pizza,,,pasdedessert,,
61,  13:18:54,2H3W,pasdentrée,,,tajinevégé,,,pasdedessert,,
62,  13:20:31,2W9Z,pasdentrée,,,pavédecabillaud,pommesdeterrevapeur,saladeverte,compote,,
63,  13:21:02,5M6R,pasdentrée,,,filetdepoulet,pommesdeterrevapeur,juliennedelégumes,compote,,
64,  13:21:33,8W1L,pasdentrée,,,filetdepoulet,pommesdeterrevapeur,juliennedelégumes,compote,,
65,  13:22:49,6I6Y,pasdentrée,,,filetdepoulet,pommesdeterrevapeur,,pasdedessert,,
66,  13:23:00,4L5H,pasdentrée,,,filetdepoulet,pommesdeterrevapeur,,pommegranny,,
67,  13:23:29,9W3C,pasdentrée,,,filetdepoulet,pommesdeterrevapeur,,pasdedessert,,
68,  13:54:48,5H2S,pasdentrée,,,tajinevégé,saladeverte,,pommegranny,compote,
