Numero questionnaire;Plat 1;Plat 2;Plat 3;Hors etudiant;Autre Ã©ventuellement;Heure départ;Genre;Régime;Fréquentation;Faim;Connaissance entourage;Influence entourage;Influence aspect;Quantité;Equilibre;Aspect;Attente;Convives;;;;;;;
A74;Salade riz;Cabillaud semoule;Mousse chocolat;;;12:53;Femme;oui;1à3;6;oui;oui;oui;5;6;6;7;A75;;;;;;;
A59;rien;lasagnes vg;yaourt;;;12:38;NB;oui;>3;3;non;non;oui;6;4;7;1;A59;C01;C02;A57;;;;
A49;Endives;lasagnes vg;yaourt;;;13:22;Homme;non;>3;6;non;non;non;2;5;5;4;;;;;;;;
A73;rien;Cabillaud semoule;fruit;;;13:04;Homme;non;1à3;7;non;non;non;6;8;5;0;B76;B74;B75;;;;;
A76;Sardines;Cabillaud semoule;Mousse chocolat;;;12:41;Homme;oui;>3;6;non;non;oui;7;6;5;5;;;;;;;;
A78;rien;Chipo semoule;fruit;;;;;;;;;;;;;;;;;;;;;;
B28;Carottes;lasagnes vg;Donut;;12h20;12:53;Homme;non;>3;6;oui;non;non;4;4;4;7;B20;B16;B17;B27;B32;B18;B19;
B15;Carottes;lasagnes vg;fruit;;;12:58;Homme;non;>3;7;oui;non;oui;3;10;5;7;B11;B12;B13;B14;B63;B64;B65;
B40;Carottes;Cabillaud semoule;Donut;;;12:51;Homme;oui;>3;8;non;oui;oui;10;8;8;10;;;;;;;;
B12;Carottes;Chipo semoule;yaourt;;;12:58;Femme;non;>3;8;oui;non;oui;8;10;10;8;B15;B12;B13;B14;B63;B64;B65;
B18;rien;Cabillaud semoule;fruit;;;12:53;Homme;non;>3;7;oui;oui;non;3;7;6;2;B20;B17;B16;B27;B32;B28;B19;
B34;Carottes;Chipo semoule;Donut;;12h23;13:11;Femme;non;>3;7;oui;non;oui;5;8;8;5;B33;;;;;;;
B45;Salade riz;Chipo semoule;fruit;;;13:08;Femme;non;>3;6;oui;non;oui;6;7;7;2;A51;B47;B48;B46;;;;
B50;Saucisson;Cabillaud semoule;yaourt;;12h28;12:40;Homme;non;NSPP;7;non;non;oui;1;7;10;0;;;;;;;;
B51;rien;Chipo semoule;Donut;;12h30;13:02;Homme;non;1à3;9;oui;non;oui;9;7;8;3;B53;B54;B52;;;;;
B53;Salade soja;lasagnes vg;Donut;;12h31;13:03;Homme;non;>3;7;oui;non;non;5;7;3;3;B51;B52;B54;;;;;
B56;rien;lasagnes vg;Chaource;;;12:59;Homme;oui;>3;4;non;non;oui;8;7;8;6;;;;;;;;
B70;Carottes;Chipo semoule;fruit;;12h32;;;;;;;;;;;;;;;;;;;;
A62;Salade riz;Cabillaud semoule;fruit;;12:12;12:41;Homme;non;1à3;4;non;non;non;9;9;5;5;;;;;;;;
B60;Salade riz;Chipo semoule;Crème dessert;;12h36;;;;;;;;;;;;;;;;;;;;
A80;Saucisson;lasagnes vg;Mousse chocolat;;;12:46;Homme;non;>3;5;oui;non;oui;7;7;5;3;A81;A78;A77;B01;;;;
B81;rien;Chipo semoule;Donut;;12h41;13:15;Homme;non;>3;5;oui;non;non;5;7;2;2;B82;B83;;;;;;
A01;Salade riz;;;;;;;;;;;;;;;;;;;;;;;;
A77;;Chipo semoule;Chaource;;;12:46;Homme;non;>3;2;oui;oui;oui;2;6;8;9;A82;A81;A80;A21;A22;A78;B01;A79
B04;Salade soja;Chipo semoule;Mousse chocolat;;;12:45;Femme;non;NSPP;7;oui;oui;oui;8;7;8;10;B02;B03;B05;;;;;
A67;;lasagnes vg;fruit;;;12:37;Femme;non;>3;6;oui;non;oui;3;9;8;NSPP;A09;A10;A11;;;;;
A79;;lasagnes vg;Emmental;;;;;;;;;;;;;;;;;;;;;;
B02;Carottes;Chipo semoule;Donut;;;12:45;Femme;non;NSPP;10;oui;non;oui;4;10;5;3;B03;B01;B05;;;;;
A69;;lasagnes vg;yaourt;;;;;;;;;;;;;;;;;;;;;;
A81;Carottes;lasagnes vg;Tarte frboises/ananas;;;;;;;;;;;;;;;;;;;;;;
A60;;;Donut;;Burger;;;;;;;;;;;;;;;;;;;;
A56;;;Donut;;Burger;;;;;;;;;;;;;;;;;;;;
B38;Salade soja;;;;;;;;;;;;;;;;;;;;;;;;
B22;Saucisson;Chipo semoule;yaourt;;;;;;;;;;;;;;;;;;;;;;
B23;Carottes;Cabillaud semoule;fruit;;;12:39;Homme;oui;>3;8;non;non;non;5;5;5;9;;;;;;;;
B19;;lasagnes vg;fruit;;;12:53;Homme;oui;>3;3;oui;oui;non;0;0;0;1;B20;B16;B17;B27;B32;B18;B28;
B35;;Chipo semoule;Mousse chocolat;;;;;;;;;;;;;;;;;;;;;;
B37;;Chipo semoule;Donut;;;;;;;;;;;;;;;;;;;;;;
B39;;lasagnes vg;fruit;;;13:24;Homme;non;<1;6;NSPP;non;oui;7;4;7;2;NSPP;;;;;;;
;Salade soja;lasagnes vg;fruit;;;;;;;;;;;;;;;;;;;;;;
B06;Salade soja;Chipo semoule;fruit;;;;;;;;;;;;;;;;;;;;;;
