N° Formulaire;Genre ;Âge;Taille (m);Poids (kg);IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS ;Equilibre alim;Seule ou En groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5;;;;;;;;;;;;
8S3I;M;21;1,92;78;21,15885417;Importante;Non;Non;Tous les jours ou presque;Moyennement;En groupe;2;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Non, je ne pense pas;Oui, assez faim;Non;2;4H1B;;;;;;;;;;;;;;;;
4H1B;M;21;1,72;75;25,35154137;Importante;Non;Non;Tous les jours ou presque;Moyennement;En groupe;2;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Non,pas trop;Oui, assez faim;Plutôt non;2;8S3I;;;;;;;;;;;;;;;;
5E1R;M;21;1,75;70;22,85714286;Faible;Non;Non;Tous les jours ou presque;Moyennement;En groupe;2;Oui;Non;N.A;Peu influencé;Très influencé;Plutôt oui;Oui, mais très peu;Plutôt non;2;8C3Z;;;;;;;;;;;;;;;;
8C3Z;M;20;1,85;75;21,9138057;Faible;Non;Non;Tous les jours ou presque;Très attention;En groupe;2;Oui;Non;Non;Pas influencé;Moyennement influencé;Non, je ne pense pas;Oui, assez faim;Non;2;5E1R;;;;;;;;;;;;;;;;
7B2H;M;40;1,68;67;23,73866213;Faible;Non;Non;Tous les jours ou presque;Moyennement;En groupe;6;Non;Non;Non;Pas influencé;Peu influencé;Plutôt oui;Oui, assez faim;Plutôt non;6;6O7D;8S7L;4C3L;1C5X;2Q8X;;;;;;;;;;;;
1C5X;M;23;1,8;74;22,83950617;Faible;Oui;Oui;Tous les jours ou presque;Très attention;En groupe;6;Non;Non;Non;Pas influencé;Peu influencé;Non, je ne pense pas;Oui, assez faim;Plutôt oui;6;6O7D;8S7L;4C3L;7B2H;2Q8X;;;;;;;;;;;;
8S7L;F;24;1,62;54;20,57613169;Importante;Non;Non;Tous les jours ou presque;Très attention;En groupe;6;Non;Non;Non;Pas influencé;Peu influencé;Non, pas trop;Oui, assez faim;Plutôt oui;6;1C5X;4C3L;7B2H;2Q8X;6O7D;;;;;;;;;;;;
6O7D;M;23;1,7;63;21,79930796;Modérée;Non;Non;Au moins 1 fois par semaine;Moyennement;En groupe;3;Non;Non;Non;Pas influencé;Peu influencé;Non, je ne pense pas;Oui, très faim;Non;6;4C3L;8S7L;1C5X;2Q8X;7B2H;;;;;;;;;;;;
4C3L;M;22;1,84;75;22,1526465;Modérée;Oui;Oui;Tous les jours ou presque;Très attention;En groupe;6;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, je ne pense pas;Oui, très faim;Plutôt non;6;8S7L;6O7D;1C5X;7B2H;2Q8X;;;;;;;;;;;;
2Q8X;F;29;1,76;69;22,27530992;Aucune;Non;Non;Tous les jours ou presque;Moyennement;En groupe;3;Oui;Non;Non;Pas influencé;Moyennement influencé;Non, pas trop;Non;Plutôt oui;6;1C5X;4C3L;7B2H;8S7L;6O7D;;;;;;;;;;;;
5L0V;F;24;1,68;64;22,67573696;Faible;Non;Non;Je viens pour la première fois;Moyennement;En groupe;2;Oui;Oui;Oui;Peu influencé;Très influencé;Non, pas trop;Oui, assez faim;Plutôt non;2;3E1Q;;;;;;;;;;;;;;;;
3E1Q;M;22;1,81;74;22,58783309;Modérée;Non;Non;Je viens pour la première fois;Un peu;En groupe;2;Oui;Oui;Oui;N.A;Moyennement influencé;Non, pas trop;Oui, assez faim;Non;2;5L0V;;;;;;;;;;;;;;;;
2K9I;M;22;1,85;75;21,9138057;Faible;Non;Non;Tous les jours ou presque;N.A;En groupe;6;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, pas trop;Oui, assez faim;Plutôt non;5;6T3Q;1J6P;8K6W;9W3O;;;;;;;;;;;;;
6T3Q;M;23;1,73;75;25,05930703;Faible;Non;Non;Au moins 1 fois par semaine;Un peu;En groupe;6;Oui;Oui;Oui;Pas influencé;Très influencé;Non, je ne pense pas;Oui, assez faim;Plutôt non;5;1J6P;2K9I;9W3O;8K6W;;;;;;;;;;;;;
9W3O;M;22;1,81;65;19,8406642;Modérée;Non;Non;Tous les jours ou presque;Moyennement;En groupe;6;Oui;Oui;Oui;Peu influencé;Très influencé;Non, je ne pense pas;Oui, assez faim;Non;5;6T3Q;1J6P;8K6W;2K9I;;;;;;;;;;;;;
1J6P;M;23;1,7;78;26,98961938;Modérée;Non;Non;Au moins 1 fois par semaine;Moyennement;En groupe;6;Oui;Oui;Oui;Pas influencé;Très influencé;Non, pas trop;Oui, très faim;Non;5;6T3Q;8K6W;2K9I;9W3O;;;;;;;;;;;;;
8K6W;M;22;1,84;55;16,2452741;Faible;Non;Non;Au moins 1 fois par semaine;Moyennement;En groupe;6;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas;Oui, très faim;Plutôt non;5;6T3Q;1J6P;2K9I;9W3O;;;;;;;;;;;;;
6M1O;M;20;1,75;60;19,59183673;Faible;Non;Non;Tous les jours ou presque;Moyennement;Seule ;1;Oui;Non;Non;Peu influencé;Très influencé;Plutôt oui;Oui, mais très peu;Plutôt non;1;;;;;;;;;;;;;;;;;
7B9M;M;22;1,81;60;18,31445927;Modérée;Non;Non;Tous les jours ou presque;Très attention;En groupe;5;Oui;Oui;Oui;Pas influencé;Très influencé;Non, je ne pense pas;Oui, assez faim;Plutôt non;5;7L7R;5X3K;7F0W;0Y1G;;;;;;;;;;;;;
5X3K;M;22;1,76;103;33,25154959;Faible;Oui;Oui;Tous les jours ou presque;Moyennement;En groupe;5;Non;Non;Non;Pas influencé;Moyennement influencé;Non, pas trop;Oui, mais très peu;Non;5;0Y1G;7L7R;7B9M;7F0W;;;;;;;;;;;;;
7L7R;M;22;1,83;64;19,11075278;Modérée;Oui;Non;Tous les jours ou presque;Moyennement;En groupe;6;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Non, pas trop;Oui, assez faim;Plutôt non;5;7B9M;7F0W;0Y1G;5X3K;;;;;;;;;;;;;
7F0W;M;21;1,8;70;21,60493827;Importante;Non;Non;Tous les jours ou presque;Moyennement;En groupe;5;Oui;Oui;Oui;Peu influencé;Peu influencé;Plutôt oui;Oui, très faim;Non;5;5X3K;0Y1G;7L7R;7B9M;;;;;;;;;;;;;
0E2X;M;21;1,9;85;23,54570637;Modérée;Non;Non;Tous les jours ou presque;Moyennement;En groupe;3;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Oui,tout à fait;Oui, assez faim;Plutôt non;3;5G9R;0M0L;;;;;;;;;;;;;;;
5G9R;M;21;1,83;75;22,39541342;Importante;Non;Non;Tous les jours ou presque;Très attention;En groupe;3;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas;Oui, très faim;Plutôt oui;3;0M0L;0E2X;;;;;;;;;;;;;;;
0M0L;M;21;1,75;62;20,24489796;Modérée;Non;Non;Au moins 1 fois par semaine;Moyennement;En groupe;3;Oui;Oui;Oui;Pas influencé;Peu influencé;Non, je ne pense pas;Oui, assez faim;Non;3;5G9R;0E2X;;;;;;;;;;;;;;;
6F8P;F;19;1,62;54;20,57613169;Faible;Non;Non;Au moins 1 fois par semaine;Un peu;En groupe;2;Oui;Oui;Oui;Peu influencé;Peu influencé;Plutôt oui;Oui, très faim;Plutôt oui;3;9D6N;4I6K;;;;;;;;;;;;;;;
4I6K;F;19;1,7;70;24,22145329;Aucune;Non;Non;Je viens pour la première fois;Un peu;En groupe;3;Oui;Oui;Oui;Moyennement influencé;Peu influencé;Non, pas trop;Oui, assez faim;Non;3;9D6N;6F8P;;;;;;;;;;;;;;;
9D6N;M;20;1,72;60;20,2812331;Aucune;Non;Non;Au moins 1 fois par semaine;Un peu;En groupe;3;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas;Oui, assez faim;Non;3;6F8P;4I6K;;;;;;;;;;;;;;;
5B3U;M;23;1,75;60;19,59183673;Faible;Oui;Oui;Tous les jours ou presque;Moyennement;Seule ;1;Oui;Non;Non;Pas influencé;Très influencé;Plutôt oui;Oui, assez faim;Plutôt oui;1;;;;;;;;;;;;;;;;;
0N3Z;F;19;157;45;0,001825632;Faible;Non;Non;Tous les jours ou presque;Un peu;Seule ;1;Non;Non;Non;Pas influencé;Moyennement influencé;Non, je ne pense pas;Oui, assez faim;Plutôt non;1;;;;;;;;;;;;;;;;;
5A5R;M;32;1,71;76;25,99090318;Faible;Non;Non;Je viens pour la première fois;Moyennement;Seule ;1;Non;Non;Non;Pas influencé;Très influencé;Non, pas trop;Oui, assez faim;Plutôt non;1;;;;;;;;;;;;;;;;;
5S4C;M;31;1,7;60;20,76124567;Importante;Oui;Oui;Tous les jours ou presque ;Moyennement;En groupe;8;Oui;Non;Non;Pas influencé;Très influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt non;3 ?;7R3E;2C5C;;;;;;;;;;;;;;;
5Z4K;M;20;1,75;65;21,2244898;Modérée;Oui;Non;Tous les jours ou presque ;Très attention;En groupe;6;Oui;Oui;Oui;Peu influencé;Très influencé;Non, pas trop;Oui, très faim;Non;4;0U8E;3U7V;7A0X;;;;;;;;;;;;;;
0U8E;M;21;1,87;70;20,01772999;Aucune;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;5;Oui;Oui;Oui;N.A;Très influencé;Non, je ne pense pas ;Oui, mais très peu;Non;4;5Z4K;3U7V;7A0X;;;;;;;;;;;;;;
4M4I;M;25;1,7;71;24,56747405;Faible;Non;Non;Au moins une fois par semaine;Moyennement;En groupe;5;Oui;Non;Non;Pas influencé;Peu influencé;Plutôt oui;Oui, mais très peu;Non;6;9I2L;9I1E;9R1R;8A1R;1F9Y;;;;;;;;;;;;
9I2L;M;24;1,8;75;23,14814815;Modérée;Non;Non;Au moins une fois par semaine;Un peu;En groupe;5;Non;Non;Non;Pas influencé;Peu influencé;Non, pas trop;Oui, assez faim;Plutôt oui;6;9I1E;4M4I;9R1R;8A1R;1F9Y;;;;;;;;;;;;
1F9Y;M;27;1,8;75;23,14814815;Importante;Non;Non;Au moins une fois par semaine;Moyennement;En groupe;6;Oui;Non;Non;Pas influencé;Moyennement influencé;Non, pas trop;Oui, mais très peu;Plutôt non;6;9I1E;9I2L;4M4I;9R1R;8A1R;;;;;;;;;;;;
8A1R;M;41;1,79;73;22,78330889;Modérée;Non;Non;Au moins une fois par semaine;Un peu;En groupe;6;Non;Non;Non;Pas influencé;Moyennement influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt non;6;9I2L;9R1R;9I1E;4M4I;1F9Y;;;;;;;;;;;;
9R1R;M;30;1,7;63;21,79930796;Modérée;Non;Non;Au moins une fois par semaine;Moyennement;En groupe;6;Oui;Oui;Oui;Pas influencé;Très influencé;Plutôt oui;Oui, assez faim;Plutôt oui;6;4M4I;9I2L;8A1R;9I1E;1F9Y;;;;;;;;;;;;
9I1E;M;28;1,73;75;25,05930703;Aucune;Oui;Non;Au moins une fois par semaine;Un peu;En groupe;5;Oui;Non;Non;Pas influencé;Très influencé;Non, pas trop;Oui, assez faim;Plutôt oui;6;9I2L;4M4I;9R1R;8A1R;1F9Y;;;;;;;;;;;;
2N5P;M;18;1,89;77;21,55594748;Faible;Non;Non;Au moins une fois par semaine;Moyennement;En groupe;3;Oui;Oui;Oui;Pas influencé;Très influencé;Non, je ne pense pas ;Oui, assez faim;Non;2;7H7Y;;;;;;;;;;;;;;;;
7H7Y;M;20;1,72;58;19,605192;Faible;Non;Non;Au moins une fois par semaine;Moyennement;En groupe;3;Oui;Oui;Oui;Pas influencé;Très influencé;Non, je ne pense pas ;Oui, mais très peu;Non;2;2N5P;;;;;;;;;;;;;;;;
4D2Z;M;24;1,75;70;22,85714286;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;2;Oui;Non;Non;Pas influencé;Peu influencé;Non, je ne pense pas ;Oui, très faim;Plutôt oui;2;3J7B;;;;;;;;;;;;;;;;
3J7B;M;23;1,75;60;19,59183673;Faible;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;2;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas ;Oui, mais très peu;Non;2;4D2Z;;;;;;;;;;;;;;;;
1U6R;M;23;1,83;65;19,4093583;Modérée;Oui;Oui;Tous les jours ou presque ;Très attention;En groupe;2;Oui;Oui;Oui;Pas influencé;Pas influencé;Plutôt oui;Oui, assez faim;Non;2;8G6G;;;;;;;;;;;;;;;;
