N° Formulaire;Genre ;Âge;Taille (m);Poids (kg);IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS ;Equilibre alim;Seule ou En groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5;;;;;;;;;;;;
4D2Y;M;21;1,7;63;21,79930796;Faible;Non;Non;Tous les jours ou presque ;Très attention;Seule;1;Oui;Non;Non;Pas influencé;Pas influencé;Non, je ne pense pas ;Oui, assez faim;Non;7;3K9G;5F9Z;0Y5X;3Y2G;6C3U;6G4G;;;;;;;;;;;
0Y5X;M;21;1,83;75;22,39541342;Importante;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;10;Oui;Oui;Oui;Pas influencé;Très influencé;Non, je ne pense pas ;Oui, mais très peu;Non;7;4D2Y;3Y2G;6G4G;3K9G;6C3U;5F9Z;;;;;;;;;;;
3K9G;M;21;1,85;73;21,32943755;Importante;Non;Non;Tous les jours ou presque ;Un peu;En groupe;7;Oui;Non;Non;Pas influencé;Très influencé;Non, je ne pense pas ;Oui, très faim;Plutôt non;7;5F9Z;6C3U;3Y2G;6G4G;4D2Y;0Y5X;;;;;;;;;;;
3Y2G;M;21;1,8;70;21,60493827;Faible;Oui;Oui;Tous les jours ou presque ;Très attention;En groupe;7;Oui;Non;Non;Pas influencé;Pas influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt oui;7;0Y5X;4D2Y;6C3U;5F9Z;3K9G;6G4G;;;;;;;;;;;
2Z9H;F;19;1,63;60;22,58270917;Faible;Non;Non;Tous les jours ou presque ;Un peu;En groupe;2;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Plutôt oui;Oui, assez faim;Plutôt non;4;8N8Q;9G6O;4W2W;;;;;;;;;;;;;;
4P8C;F;25;1,65;50;18,36547291;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;5;Oui;Oui;Oui;Pas influencé;Très influencé;Non, je ne pense pas ;Oui, assez faim;Non;5;5L7H;5Q8S;1V0X;5W0Z;;;;;;;;;;;;;
5Q8S;M;31;1,86;89;25,7255174;Modérée;Non;Non;Tous les jours ou presque ;Un peu;En groupe;5;Oui;Oui;Oui;Peu influencé;Peu influencé;Non, je ne pense pas ;Oui, assez faim;Non;5;5L7H;1V0X;5W0Z;4P8C;;;;;;;;;;;;;
5L7H;M;27;1,78;72;22,72440348;Modérée;Oui;Non;Au moins une fois par semaine;Pas du tout;En groupe;5;Oui;Non;Non;Pas influencé;Pas influencé;Oui, tout à fait;Oui, assez faim;Oui, très;5;5Q8S;1V0X;5W0Z;4P8C;;;;;;;;;;;;;
5W0Z;M;27;1,71;70;23,93898977;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;5;Non;Non;Non;Peu influencé;Très influencé;Non, je ne pense pas ;Oui, très faim;Plutôt oui;5;1V0X;4P8C;5Q8S;5L7H;;;;;;;;;;;;;
1V0X;M;24;1,7;71;24,56747405;Importante;Non;Non;Au moins une fois par semaine;Très attention;En groupe;5;Oui;Non;Non;Pas influencé;Pas influencé;Non, je ne pense pas ;Oui, très faim;Plutôt non;5;4P8C;5Q8S;5L7H;5W0Z;;;;;;;;;;;;;
7V3K;M;20;1,78;65;20,51508648;Faible;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;6;Oui;Oui;Oui;Peu influencé;Très influencé;Plutôt oui;Oui, assez faim;Non;2;2I7P;;;;;;;;;;;;;;;;
2I7P;M;20;1,8;73;22,5308642;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;2;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Non, je ne pense pas ;Oui, très faim;Plutôt oui;2;7V3K;;;;;;;;;;;;;;;;
9C8Y;M;22;1,78;78;24,61810377;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;9;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Plutôt oui;Oui, assez faim;Plutôt non;14;4O8C;1Y7U;2J2X;8Q9F;9X1Z;0H5L;1S8D;7N0N;3S5G;1A9V;6A4U;4R8R;7R7Y;;;;
6A4U;M;22;1,75;50;16,32653061;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;15;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Oui, tout à fait;Oui, très faim;Plutôt non;14;4O8C;1Y7U;2J2X;8Q9F;9X1Z;0H5L;1S8D;7N0N;3S5G;1A9V;4R8R;7R7Y;9C8Y;;;;
3S5G;F;21;1,63;55;20,70081674;Faible;Non;Non;Tous les jours ou presque ;Un peu;En groupe;10;Oui;Oui;Oui;Peu influencé;Très influencé;Non, pas trop;Oui, très faim;Non;14;4O8C;1Y7U;2J2X;8Q9F;9X1Z;0H5L;1S8D;7N0N;1A9V;6A4U;4R8R;7R7Y;9C8Y;;;;
7N0N;F;22;1,58;50;20,02884153;Faible;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;15;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Plutôt oui;Oui, mais très peu;Plutôt oui;14;4O8C;1Y7U;2J2X;8Q9F;9X1Z;0H5L;1S8D;3S5G;1A9V;6A4U;4R8R;7R7Y;9C8Y;;;;
1A9V;M;21;1,74;65;21,46915048;Aucune;Non;Non;Au moins une fois par semaine;Un peu;En groupe;8;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas ;Oui, mais très peu;Plutôt non;14;4O8C;1Y7U;2J2X;8Q9F;9X1Z;0H5L;1S8D;7N0N;3S5G;6A4U;4R8R;7R7Y;9C8Y;;;;
4R8R;M;22;1,85;80;23,37472608;Modérée;Non;Non;Tous les jours ou presque ;Un peu;En groupe;9;Oui;Oui;Oui;Moyennement influencé;Très influencé;Plutôt oui;Oui, mais très peu;Plutôt non;14;4O8C;1Y7U;2J2X;8Q9F;9X1Z;0H5L;1S8D;7N0N;3S5G;1A9V;6A4U;7R7Y;9C8Y;;;;
7R7Y;F;22;1,69;61;21,3577956;Importante;Non;Non;Au moins une fois par semaine;Moyennement;En groupe;9;Oui;Oui;Oui;Moyennement influencé;Très influencé;Plutôt oui;Oui, mais très peu;Plutôt oui;14;4O8C;1Y7U;2J2X;8Q9F;9X1Z;0H5L;1S8D;7N0N;3S5G;1A9V;6A4U;4R8R;9C8Y;;;;
2U9G;M;21;1,75;75;24,48979592;Modérée;Non;Non;Tous les jours ou presque ;Très attention;En groupe;2;Non;Non;Non;Peu influencé;Peu influencé;Plutôt oui;Oui, très faim;Non;2;9Y7K;;;;;;;;;;;;;;;;
9Y7K;F;19;1,64;53;19,70553242;Modérée;Oui;Non;Tous les jours ou presque ;Très attention;En groupe;2;Non;Non;Non;Peu influencé;Moyennement influencé;Non, pas trop;Oui, très faim;Non;2;2U9G;;;;;;;;;;;;;;;;
3X3L;F;25;1,68;56;19,84126984;Modérée;Non;Non;Tous les jours ou presque ;Très attention;En groupe;5;Non;Non;Non;Pas influencé;Moyennement influencé;Non, je ne pense pas ;Oui, assez faim;Non;3;1F7A;0R1F;;;;;;;;;;;;;;;
1F7A;M;24;1,79;78;24,34380949;Faible;Non;Non;Au moins une fois par semaine;Très attention;En groupe;5;Oui;Oui;Oui;Moyennement influencé;Moyennement influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt oui;3;0R1F;3X3L;;;;;;;;;;;;;;;
0R1F;M;25;1,75;66;21,55102041;Faible;Oui;Non;Tous les jours ou presque ;Un peu;En groupe;5;Oui;Oui;Oui;Pas influencé;Très influencé;Plutôt oui;Oui, très faim;Non;3;3X3L;1F7A;;;;;;;;;;;;;;;
7F5T;F;21;1,58;50;20,02884153;N.A;Oui;Oui;Tous les jours ou presque ;Un peu;En groupe;5;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, je ne pense pas ;Oui, très faim;Plutôt non;5;0A5K;1B0U;2P1V;0O3R;;;;;;;;;;;;;
2P1V;F;21;1,66;58;21,04804761;Faible;Oui;Oui;Tous les jours ou presque ;Très attention;En groupe;5;Oui;Oui;Oui;Très influencé;Peu influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt oui;5;1B0U;0A5K;7F5T;0O3R;;;;;;;;;;;;;
1B0U;M;22;1,83;68;20,30517483;Modérée;Non;Oui;Tous les jours ou presque ;Très attention;En groupe;5;Oui;Oui;Oui;Peu influencé;Très influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt non;5;2P1V;0A5K;7F5T;0O3R;;;;;;;;;;;;;
0O3R;F;21;1,7;57;19,72318339;Modérée;Non;Oui;Tous les jours ou presque ;Moyennement;En groupe;5;Oui;Oui;Oui;Peu influencé;Très influencé;Non, pas trop;Oui, très faim;Plutôt non;5;1B0U;7F5T;0A5K;2P1V;;;;;;;;;;;;;
0A5K;F;21;1,7;57;19,72318339;Faible;Oui;Oui;Tous les jours ou presque ;Très attention;En groupe;5;Oui;Oui;Oui;Peu influencé;Très influencé;Non, je ne pense pas ;Oui, assez faim;Non;5;2P1V;0O3R;7F5T;1B0U;;;;;;;;;;;;;
5I5D;F;20;1,69;53;18,55677322;Modérée;Oui;Oui;Tous les jours ou presque ;Moyennement;En groupe;5;Oui;Oui;Oui;Moyennement influencé;Moyennement influencé;Non, je ne pense pas ;Oui, très faim;Plutôt non;3;1O0R;3V9C;;;;;;;;;;;;;;;
1O0R;M;19;1,72;65;21,97133586;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;5;Oui;Oui;Oui;Peu influencé;Très influencé;Non, pas trop;Oui, très faim;Plutôt oui;3;3V9C;5I5D;;;;;;;;;;;;;;;
3C4H;F;21;1,6;48;18,75;Modérée;Non;Non;Au moins une fois par semaine;Très attention;En groupe;5;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas ;Oui, assez faim;Oui, très;N.A;;;;;;;;;;;;;;;;;
0H2B;M;20;1,86;75;21,6788068;Modérée;Non;Non;Au moins une fois par semaine;Un peu;En groupe;6;Oui;Oui;Oui;Pas influencé;Très influencé;Plutôt oui;Oui, assez faim;Non;3;4S3S;1J8K;;;;;;;;;;;;;;;
1J8K;M;23;1,64;61;22,67995241;Importante;Oui;Oui;Au moins une fois par semaine;Très attention;En groupe;5;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt non;3;4S3S;0H2B;;;;;;;;;;;;;;;
4S3S;F;21;1,585;51;20,30072943;Faible;Non;Non;Au moins une fois par semaine;Un peu;En groupe;5;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, je ne pense pas ;Oui, très faim;Plutôt non;3;1J8K;0H2B;;;;;;;;;;;;;;;
9Q5A;M;20;1,8;72;22,22222222;Importante;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;2;Oui;Oui;Oui;Pas influencé;Très influencé;Non, je ne pense pas ;Oui, très faim;Non;2;7Y5A;;;;;;;;;;;;;;;;
7Y5A;M;21;1,76;62;20,01549587;Faible;Non;Non;Je viens pour la première fois;Moyennement;En groupe;2;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas ;Non;Non;2;9Q5A;;;;;;;;;;;;;;;;
9O9K;M;20;1,75;58;18,93877551;Importante;Oui;Non;Tous les jours ou presque ;Un peu;En groupe;2;Oui;Oui;Oui;Pas influencé;Très influencé;Non, pas trop;Oui, mais très peu;Non;2;0N9P;;;;;;;;;;;;;;;;
0N9P;M;20;1,89;70;19,59631589;Importante;Non;Non;Tous les jours ou presque ;Un peu;En groupe;2;Oui;Oui;Oui;Pas influencé;Très influencé;Non, je ne pense pas ;Oui, assez faim;Non;2;9O9K;;;;;;;;;;;;;;;;
4W2W;M;18;1,7;55;19,03114187;Faible;Non;Non;Tous les jours ou presque ;Très attention;Seule;1;Non;Non;Non;Pas influencé;Peu influencé;Non, je ne pense pas ;Oui, mais très peu;Plutôt oui;4;9G6O;8N8Q;2Z9H;;;;;;;;;;;;;;
8N8Q;M;20;1,79;68;21,22280828;Faible;Oui;Non;Tous les jours ou presque ;Moyennement;En groupe;3;Non;Non;Non;Pas influencé;Très influencé;Non, pas trop;Oui, mais très peu;Plutôt oui;4;9G6O;4W2W;2Z9H;;;;;;;;;;;;;;
9G6O;M;23;1,8;69;21,2962963;Faible;Non;Non;Au moins une fois par semaine;Moyennement;En groupe;3;Oui;Non;Non;Peu influencé;Très influencé;Plutôt oui;Oui, assez faim;Plutôt non;4;8N8Q;4W2W;2Z9H;;;;;;;;;;;;;;
6F0E;F;20;1,72;65;21,97133586;Importante;Oui;Non;Tous les jours ou presque ;Moyennement;En groupe;3;Non;Non;Non;Pas influencé;Moyennement influencé;Plutôt oui;Oui, mais très peu;Non;2;0T3B;;;;;;;;;;;;;;;;
0T3B;M;21;1,8;70;21,60493827;Importante;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;3;Oui;Oui;Oui;Peu influencé;Pas influencé;Non, je ne pense pas ;Oui, mais très peu;Plutôt oui;2;6F0E;;;;;;;;;;;;;;;;
6T0P;M;20;1,78;60;18,9370029;Importante;Oui;Non;Tous les jours ou presque ;Très attention;En groupe;3;Oui;Non;Non;Pas influencé;Moyennement influencé;Plutôt oui;Oui, assez faim;Non;N.A;;;;;;;;;;;;;;;;;
8X7O;M;22;1,72;80;27,04164413;Modérée;Non;Non;Au moins une fois par semaine;Moyennement;Seule;1;Oui;Non;Non;Moyennement influencé;Peu influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt non;1;;;;;;;;;;;;;;;;;
2F8S;M;22;1,8;67;20,67901235;Faible;Oui;Oui;Tous les jours ou presque ;Très attention;En groupe;4;Oui;Non;Non;Peu influencé;Très influencé;Oui, tout à fait;Oui, très faim;Oui, très;2;2W6P;;;;;;;;;;;;;;;;
2W6P;M;22;1,96;73;19,00249896;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;2;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt non;2;2F8S;;;;;;;;;;;;;;;;
4A7O;M;25;1,7;80;27,6816609;Faible;Non;Non;Tous les jours ou presque ;Un peu;En groupe;10;Oui;Oui;Oui;Moyennement influencé;Très influencé;Non, je ne pense pas ;Oui, assez faim;Non;10;0F1W;9B5K;2R7A;3O6U;9M5B;5Q1R;1W7I;1O2T;1R9D;;;;;;;;
9B5K;M;25;1,9;75;20,77562327;Modérée;Oui;Non;Au moins une fois par semaine;Moyennement;En groupe;5;Oui;Oui;Oui;Peu influencé;Très influencé;Plutôt oui;Oui, mais très peu;Plutôt non;10;4A7O;0F1W;1R9D;2R7A;5Q1R;1O2T;5Q1R;3O6U;9M5B;;;;;;;;
0F1W;F;23;1,73;56;18,71094925;Modérée;Non;Non;Au moins une fois par semaine;Moyennement;En groupe;10;Oui;Oui;Oui;Peu influencé;Pas influencé;Non, pas trop;Oui, assez faim;Plutôt oui;10;4A7O;9B5K;1R9D;2R7A;3O6U;9M5B;5Q1R;1W7I;1O2T;;;;;;;;
1O2T;M;24;1,85;75;21,9138057;Faible;Non;Non;Au moins une fois par semaine;Un peu;En groupe;10;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, je ne pense pas ;Oui, mais très peu;Non;10;4A7O;9B5K;1R9D;2R7A;3O6U;9M5B;5Q1R;1W7I;0F1W;;;;;;;;
2R7A;M;23;1,83;79,9;23,85858043;Faible;Non;Non;Au moins une fois par semaine;Pas du tout;En groupe;10;Oui;Oui;Oui;Peu influencé;Peu influencé;Non, je ne pense pas ;Oui, assez faim;Oui, très;10;4A7O;9B5K;1R9D;0F1W;3O6U;9M5B;5Q1R;1W7I;1O2T;;;;;;;;
1R9D;M;22;1,72;82;27,71768524;Modérée;Oui;Non;Au moins une fois par semaine;Pas du tout;En groupe;9;Non;Non;Non;Peu influencé;Très influencé;Plutôt oui;Oui, très faim;Plutôt non;10;9B5K;0F1W;2R7A;4A7O;3O6U;9M5B;5Q1R;1W7I;1O2T;;;;;;;;
5Q1R;F;25;1,7;72;24,91349481;Modérée;Non;Non;Au moins une fois par semaine;Moyennement;Seule;1;Oui;Oui;Non;Peu influencé;Très influencé;Non, pas trop;Oui, très faim;Plutôt non;10;9M5B;3O6U;2R7A;4A7O;0F1W;9B5K;1R9D;1O2T;1W7I;;;;;;;;
1B3G;M;19;1,78;81;25,56495392;Modérée;Non;Non;Tous les jours ou presque ;Pas du tout;En groupe;3;Oui;Oui;Oui;Pas influencé;Très influencé;Non, pas trop;Oui, assez faim;Non;3;1W3S;7T4X;;;;;;;;;;;;;;;
1W3S;M;20;1,73;64;21,383942;Importante;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;3;Oui;Oui;Oui;Pas influencé;Peu influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt non;3;1B3G;7T4X;;;;;;;;;;;;;;;
7T4X;M;19;1,76;70;22,5981405;Importante;Non;Non;Tous les jours ou presque ;Pas du tout;En groupe;3;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas ;Oui, assez faim;Non;3;1B3G;1W3S;;;;;;;;;;;;;;;
9Z3C;M;21;1,75;61;19,91836735;Modérée;Oui;Oui;Tous les jours ou presque ;Très attention;En groupe;5;Oui;Oui;Oui;Moyennement influencé;Moyennement influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt non;5;6T3K;6R1H;4G8T;8W1B;;;;;;;;;;;;;
6R1H;F;21;1,75;60;19,59183673;Modérée;Non;Non;Tous les jours ou presque ;Très attention;En groupe;5;Oui;N.A;N.A;Moyennement influencé;Très influencé;Non, je ne pense pas ;Oui, assez faim;Non;5;9Z3C;8W1B;6T3K;4G8T;;;;;;;;;;;;;
4G8T;F;21;1,75;55;17,95918367;Modérée;Non;Non;Au moins une fois par semaine;Moyennement;En groupe;5;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, pas trop;Oui, mais très peu;Non;5;6R1H;9Z3C;6T3K;8W1B;;;;;;;;;;;;;
8W1B;F;22;1,7;57;19,72318339;Modérée;Oui;Oui;Au moins une fois par semaine;Moyennement;En groupe;5;Oui;Oui;Oui;Moyennement influencé;Moyennement influencé;Non, pas trop;Oui, mais très peu;Oui, très;5;6T3K;6R1H;9Z3C;4G8T;;;;;;;;;;;;;
5C9D;F;21;1,73;72;24,05693475;Modérée;Oui;Oui;Tous les jours ou presque ;Très attention;En groupe;2;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, pas trop;Non;Plutôt non;2;0G1P;;;;;;;;;;;;;;;;
0G1P;F;21;1,66;54;19,59645812;Modérée;Non;Oui;Tous les jours ou presque ;Très attention;En groupe;2;Oui;Oui;Oui;Moyennement influencé;Moyennement influencé;Non, je ne pense pas ;Oui, mais très peu;Non;2;5C9D;;;;;;;;;;;;;;;;
8Z9E;M;28;1,76;70;22,5981405;Modérée;Non;Non;Au moins une fois par semaine;Moyennement;Seule;1;Oui;Oui;Non;Très influencé;Peu influencé;Oui, tout à fait;Oui, mais très peu;Oui, très;3;5Y3W;9W3F;;;;;;;;;;;;;;;
5Y3W;F;27;1,48;46;21,00073046;Modérée;Non;Non;Au moins une fois par semaine;Moyennement;En groupe;2;Oui;Oui;Oui;Moyennement influencé;Très influencé;Oui, tout à fait;Oui, assez faim;Plutôt oui;3;8Z9E;9W3F;;;;;;;;;;;;;;;
9W3F;M;32;1,82;79;23,8497766;Faible;Non;Non;Au moins une fois par semaine;Très attention;En groupe;2;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, pas trop;Oui, très faim;Non;3;5Y3W;8Z9E;;;;;;;;;;;;;;;
3E3Y;M;22;1,8;70;21,60493827;Modérée;Non;Non;Tous les jours ou presque ;Très attention;En groupe;4;Oui;Oui;Oui;Très influencé;Moyennement influencé;Non, je ne pense pas ;Oui, très faim;Non;N.A;;;;;;;;;;;;;;;;;
4G9N;M;22;1,77;75;23,93948099;Aucune;Non;Non;Tous les jours ou presque ;Pas du tout;En groupe;3;Oui;Oui;Oui;Moyennement influencé;Très influencé;Plutôt oui;Oui, assez faim;Oui, très;3;3S3F;0X6C;;;;;;;;;;;;;;;
6C0S;M;23;1,64;71;26,39797739;Aucune;Non;Non;Tous les jours ou presque ;Un peu;En groupe;3;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Plutôt oui;Oui, assez faim;Plutôt non;N.A;;;;;;;;;;;;;;;;;
3S3F;M;22;1,72;75;25,35154137;Faible;Oui;Non;Tous les jours ou presque ;Moyennement;En groupe;3;Oui;Oui;Oui;Peu influencé;Peu influencé;Non, pas trop;Oui, assez faim;Plutôt non;3;0X6C;4G9N;;;;;;;;;;;;;;;
0I6B;M;21;1,85;70;20,45288532;Importante;Non;Non;Tous les jours ou presque ;Très attention;En groupe;2;Oui;Oui;Oui;Pas influencé;Peu influencé;Non, je ne pense pas ;Oui, mais très peu;Plutôt oui;2;3V6V;;;;;;;;;;;;;;;;
3V6V;M;21;1,8;50;15,43209877;Faible;Non;Non;Tous les jours ou presque ;Très attention;En groupe;2;Oui;Oui;Oui;Pas influencé;Peu influencé;Non, je ne pense pas ;Oui, mais très peu;Plutôt oui;2;0I6B;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9D6N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5A5R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8S7L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4C3L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8N6P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1C5X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0N3Z;;;;;;;;;;;;;;;;;;;;;;;;;4O8C;1Y7U;2J2X;8Q9F;9X1Z;0H5L;1S8D;7N0N;3S5G;1A9V;6A4U;4R8R;9C8Y;7R7Y
7Y5A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7B2H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9Q5A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3E1Q;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3N5Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5LOV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2Q8X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2L4N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0Y1G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5C2M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1J6P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2K9I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9W30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6T3Q;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2O7S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5U3X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5G9R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0M0L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8K6W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0E2X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0S4Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2T3H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8E1F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6M1O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2W1G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5Q8O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8X6E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5S7A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6E4S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5B3U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5S4C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3K9G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6G4G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7F1D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5F9Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7R3E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6C3U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8S7P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0Y5X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3Q5T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9I2L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5Q0Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7V9Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1I3P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7F0W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8X0N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3X3L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8T1Q;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OR1F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1F7A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7E5H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5W0Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5Q8S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1V0X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4P8C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5L7H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9YFK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2U9G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4A4Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7H7Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3R8M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1F9Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3U7V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8G6G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6G5H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1U6R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
