;Horodateur;Numéro de formulaire ;minisandwich;saladederiz;saladedechou;betterave;artichauts;pâté;rillettespoisson;carottesrapees;saladedepates;champignonsalitalienne;cordonbleu;boulettesviande;rotilégumestofu;pavédepoissonbordelaise;pizzakebab;filetdepoulet;kebab;entrecôte;riz;frites;brocolis;salade;pommegala;tarteauxfruits;yaourtauxfruitsenmorceaux;parisbrest;poire;fromageblancnature;pruneauxausirop;emmental;bleudauvergneaop;crèmepraliné;yaourtnature;gâteaudesemoule;orange;banane;liégeois;kiwi;cocktailfruitsexotiques
31; 12:53:03;5B3U;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
32; 12:53:16;5S4C;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33; 12:54:35;3K9G;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
34; 12:55:02;6G4G;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
35; 12:55:16;7F1D;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
36; 12:55:41;5F9Z;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
37; 12:56:02;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
38; 12:56:15;7R3E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39; 12:56:29;6C3U;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
40; 12:56:54;8S7P;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
