;Horodateur;Numéro de formulaire ;choublanc;rillettepoisson;minisandwich;betterave;saladedepommesdeterre;champignons;saladederiz;pâté;rotidelégumesautofu;poissonpané;filetdepoulet;entrecôte;kebab;spaghettis;mousselinedepotiron;frites;salade;légumes;roquefort;crèmepraliné;yaourtnaturebio;banane;pruneauxensirop;compote;cantalaop;orange;kiwi;pomme
42;  12:59:20;0X7C;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0
43;  12:59:28;3R3M;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
44;  12:59:45;3M6S;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
45;  13:00:06;2Z9A;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
46;  13:00:08;9A09;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
47;  13:00:29;0A8B;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
48;  13:01:11;3L2B;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
49;  13:01:17;2U2X;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
50;  13:01:17;3T0P;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
51;  13:01:34;1I1F;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
52;  13:02:09;8A4O;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
53;  13:02:18;2Y1M;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
54;  13:03:01;8D5S;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1
55;  13:03:17;4W5E;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
56;  13:03:38;OW3D;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
57;  13:04:09;4U9D;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
58;  13:04:17;7E4C;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
59;  13:04:30;5W6M;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
60;  13:04:37;7W5Y;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
61;  13:04:48;OI5C;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
62;  13:05:03;2D7O;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0
63;  13:05:14;8J2L;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
64;  13:05:35;1L4G;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
65;  13:05:41;1M2Q;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
66;  13:05:42;254Q;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
