N° Formulaire;Genre;Âge;Taille (m);Poids (kg);IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS;Equilibre alim;Seule ou en groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5
9F9T;F;19;1,75;58;18,93877551;Modérée;Non;Oui;Tous les jours ou presque ;Moyennement;En groupe;7;Oui;Oui;Oui;Pas influencé;Très influencé;Plutôt oui;Oui, assez faim;Plutôt oui;7;0F7G;9A0P;3T0P;0A8B;8I1P
0F7G;F;21;1,77;58;18,51319863;Modérée;Non;Oui;Tous les jours ou presque ;Moyennement;En groupe;7;Oui;Oui;Oui;Peu influencé;Très influencé;Non, pas trop;Oui, assez faim;Plutôt non;7;9A0P;0A8B;8I1P;4M3X;3T0P
3T0P;F;22;1,67;66;23,66524436;Faible;Oui;Oui;Tous les jours ou presque ;Moyennement;En groupe;8;Non;Non;Non;Peu influencé;Peu influencé;Plutôt oui;Oui, assez faim;Plutôt non;7;9A0P;0A8B;8I1P;4M3X;9F9T
8W4J;M;20;1,84;79;23,33412098;Faible;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;3;Oui;Oui;Oui;Pas influencé;Peu influencé;Non, je ne pense pas;Oui, mais très peu;Non;3;4U9D;9K0Q;;;
4U9D;M;19;1,8;62;19,13580247;Modérée;Non;Non;Tous les jours ou presque ;Un peu;En groupe;3;Oui;Oui;Oui;Pas influencé;Très influencé;Oui, tout à fait ;Oui, très faim;Plutôt non;3;8W4J;9K0Q;;;
0V2T;M;24;1,8;78;24,07407407;Importante;Oui;Non;Au moins 1 fois par semaine;Moyennement;En groupe;4;Oui;Oui;;Moyennement influencé;Moyennement influencé;Plutôt oui;Oui, très faim;Plutôt oui;;;;;;
7E4C;M;18;1,78;57;17,99015276;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;Seule;1;Oui;Non;Non;;Très influencé;Plutôt oui;Oui, très faim;Non;2;2U2X;;;;
2U2X;M;20;1,7;72;24,91349481;Aucune;Non;Non;Tous les jours ou presque ;Moyennement;Seule;1;Oui;Oui;Non;Moyennement influencé;Pas influencé;Non, je ne pense pas;Oui, assez faim;Plutôt non;2;7E4C;;;;
8O0N;F;20;1,65;55;20,2020202;Faible;Non;Non;Au moins 1 fois par semaine;Moyennement;En groupe;6;Non;Non;Non;Pas influencé;Très influencé;Non, je ne pense pas;Oui, assez faim;Plutôt oui;5;5Y3F;0M5Q;1P9Z;1O7J;
5Y3F;F;20;1,57;48;19,47340663;Modérée;Non;Non;Tous les jours ou presque ;Très attention;En groupe;6;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Plutôt oui;Oui, très faim;Oui, très;5;8O0N;0M5Q;1P9Z;1O7J;
1O7J;F;19;1,67;63;22,58955144;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;6;Oui;Oui;Oui;Peu influencé;Très influencé;Non, je ne pense pas;Oui, très faim;Oui, très;5;5Y3F;0M5Q;8O0N;1P9Z;
5A0R;F;20;1,705;50;17,19971448;Modérée;Oui;Non;Tous les jours ou presque ;Moyennement;En groupe;12;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Non, je ne pense pas;Oui, très faim;Plutôt oui;6;3M6S;0O9T;2M6T;0X7C;3R3M
2M6T;M;20;1,75;65;21,2244898;Importante;Oui;Oui;Tous les jours ou presque ;Moyennement;En groupe;12;Oui;Oui;Oui;Pas influencé;Très influencé;Plutôt oui;Oui, très faim;Non;6;3M6S;0O9T;3R3M;0X7C;5A0R
0X7C;M;21;1,8;72;22,22222222;Faible;Non;Non;Au moins 1 fois par semaine;Un peu;En groupe;12;Oui;Oui;Oui;Très influencé;Moyennement influencé;Non, je ne pense pas;Oui, assez faim;Non;6;3R3M;0O9T;3M6S;5A0R;2M6T
3R3M;M;21;1,8;72;22,22222222;Faible;Non;Non;Au moins 1 fois par semaine;Un peu;En groupe;12;Oui;Oui;Oui;Très influencé;Très influencé;Non, je ne pense pas;Non;Oui, très;6;0X7C;2M6T;0O9T;5A0R;3M6S
3M6S;F;19;1,64;53;19,70553242;Modérée;Non;Non;Au moins 1 fois par semaine;Moyennement;En groupe;15;Oui;Oui;Oui;Très influencé;Peu influencé;Non, je ne pense pas;Oui, très faim;Non;6;5A0R;0O9T;0X7C;3R3M;2M6T
0O9T;F;20;1,74;54;17,83590963;Modérée;Oui;Oui;Au moins 1 fois par semaine;Très attention;En groupe;27;Oui;Oui;Oui;Moyennement influencé;Moyennement influencé;Non, pas trop;Oui, très faim;Plutôt non;6;5A0R;0X7C;3R3M;2M6T;3M6S
2A7F;M;20;1,93;86;23,08786813;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;3;Oui;Oui;Oui;Pas influencé;Peu influencé;Non, je ne pense pas;Oui, assez faim;Plutôt non;3;6J0A;4Q1C;;;
